a,b,dia_juliano,d,e,f,g,h
101,2023,123,530.0,12.48,4.061,23.27,0.0
101,2023,123,531.0,12.48,4.54,23.25,0.0
101,2023,123,532.0,12.48,5.048,23.24,0.0
101,2023,123,533.0,12.48,5.555,23.24,0.0
101,2023,123,534.0,12.48,6.147,23.24,0.0
101,2023,123,535.0,12.48,6.627,23.24,0.0
101,2023,123,536.0,12.48,7.08,23.24,0.0
101,2023,123,537.0,12.48,7.64,23.23,0.0
101,2023,123,538.0,12.48,8.32,23.22,0.0
101,2023,123,539.0,12.48,8.91,23.21,0.0
101,2023,123,540.0,12.48,9.5,23.21,0.0
101,2023,123,541.0,12.48,10.1,23.2,0.0
101,2023,123,542.0,12.48,10.77,23.19,0.0
101,2023,123,543.0,12.48,11.62,23.19,0.0
101,2023,123,544.0,12.48,12.6,23.19,0.0
101,2023,123,545.0,12.48,13.54,23.2,0.0
101,2023,123,546.0,12.48,14.18,23.21,0.0
101,2023,123,547.0,12.48,14.66,23.21,0.0
101,2023,123,548.0,12.49,15.71,23.21,0.0
101,2023,123,549.0,12.49,16.72,23.23,0.0
101,2023,123,550.0,12.49,17.43,23.24,0.0
101,2023,123,551.0,12.49,17.88,23.24,0.0
101,2023,123,552.0,12.5,18.3,23.24,0.0
101,2023,123,553.0,12.5,19.23,23.24,0.0
101,2023,123,554.0,12.51,20.11,23.24,0.0
101,2023,123,555.0,12.51,20.39,23.25,0.0
101,2023,123,556.0,12.51,20.7,23.26,0.0
101,2023,123,557.0,12.51,20.98,23.26,0.0
101,2023,123,558.0,12.52,21.4,23.27,0.0
101,2023,123,559.0,12.52,21.74,23.28,0.0
101,2023,123,600.0,12.52,22.19,23.29,0.0
101,2023,123,601.0,12.52,22.62,23.3,0.0
101,2023,123,602.0,12.52,23.04,23.31,0.0
101,2023,123,603.0,12.53,23.57,23.31,0.0
101,2023,123,604.0,12.53,24.03,23.31,0.0
101,2023,123,605.0,12.53,24.81,23.32,0.0
101,2023,123,606.0,12.54,25.83,23.34,0.0
101,2023,123,607.0,12.54,26.7,23.34,0.0
101,2023,123,608.0,12.54,27.8,23.33,0.0
101,2023,123,609.0,12.55,28.88,23.33,0.0
101,2023,123,610.0,12.55,30.45,23.34,0.0
101,2023,123,611.0,12.56,32.6,23.34,0.0
101,2023,123,612.0,12.58,35.28,23.33,0.0
101,2023,123,613.0,12.59,37.7,23.31,0.0
101,2023,123,614.0,12.61,38.74,23.3,0.0
101,2023,123,615.0,12.62,40.01,23.32,0.0
101,2023,123,616.0,12.63,40.61,23.33,0.0
101,2023,123,617.0,12.65,40.89,23.34,0.0
101,2023,123,618.0,12.66,42.1,23.34,0.0
101,2023,123,619.0,12.68,44.47,23.35,0.0
101,2023,123,620.0,12.7,47.71,23.37,0.0
101,2023,123,621.0,12.73,50.84,23.41,0.0
101,2023,123,622.0,12.77,53.44,23.42,0.0
101,2023,123,623.0,12.8,56.76,23.43,0.0
101,2023,123,624.0,12.84,60.49,23.43,0.0
101,2023,123,625.0,12.89,65.53,23.44,0.0
101,2023,123,626.0,12.93,73.9,23.42,0.0
101,2023,123,627.0,13.0,86.0,23.47,0.0
101,2023,123,628.0,13.08,96.1,23.53,0.0
101,2023,123,629.0,13.17,102.9,23.56,0.0
101,2023,123,630.0,13.23,107.4,23.55,0.0
101,2023,123,631.0,13.24,114.3,23.61,0.0
101,2023,123,632.0,13.24,123.8,23.67,0.0
101,2023,123,633.0,13.23,120.0,23.69,0.0
101,2023,123,634.0,13.23,118.7,23.62,0.0
101,2023,123,635.0,13.23,119.7,23.65,0.0
101,2023,123,636.0,13.23,120.7,23.72,0.0
101,2023,123,637.0,13.23,120.0,23.61,0.0
101,2023,123,638.0,13.23,115.4,23.63,0.0
101,2023,123,639.0,13.23,114.2,23.61,0.0
101,2023,123,640.0,13.23,120.5,23.6,0.0
101,2023,123,641.0,13.23,161.8,23.58,0.0
101,2023,123,642.0,13.23,182.9,23.65,0.0
101,2023,123,643.0,13.23,243.6,23.74,0.0
101,2023,123,644.0,13.23,174.7,23.77,0.0
101,2023,123,645.0,13.23,166.0,23.86,0.0
101,2023,123,646.0,13.23,191.6,23.91,0.0
101,2023,123,647.0,13.23,238.6,23.8,0.0
101,2023,123,648.0,13.23,245.0,23.9,0.0
101,2023,123,649.0,13.22,208.7,24.02,0.0
101,2023,123,650.0,13.23,267.8,24.16,0.0
101,2023,123,651.0,13.22,272.8,24.13,0.0
101,2023,123,652.0,13.22,278.9,24.16,0.0
101,2023,123,653.0,13.22,285.1,24.15,0.0
101,2023,123,654.0,13.22,283.8,24.3,0.0
101,2023,123,655.0,13.22,247.2,24.07,0.0
101,2023,123,656.0,13.22,227.3,24.08,0.0
101,2023,123,657.0,13.22,252.3,24.09,0.0
101,2023,123,658.0,13.22,251.9,24.03,0.0
101,2023,123,659.0,13.22,240.6,24.01,0.0
101,2023,123,700.0,13.22,224.1,24.14,0.0
101,2023,123,701.0,13.22,204.0,24.24,0.0
101,2023,123,702.0,13.22,226.7,24.3,0.0
101,2023,123,703.0,13.22,272.4,24.19,0.0
101,2023,123,704.0,13.22,226.1,24.21,0.0
101,2023,123,705.0,13.22,208.2,24.3,0.0
101,2023,123,706.0,13.22,288.3,24.36,0.0
101,2023,123,707.0,13.22,310.8,24.42,0.0
101,2023,123,708.0,13.22,322.4,24.48,0.0
101,2023,123,709.0,13.22,318.9,24.48,0.0
101,2023,123,710.0,13.22,339.8,24.44,0.0
101,2023,123,711.0,13.22,363.4,24.58,0.0
101,2023,123,712.0,13.22,278.7,24.69,0.0
101,2023,123,713.0,13.21,295.0,24.7,0.0
101,2023,123,714.0,13.21,183.0,24.56,0.0
101,2023,123,715.0,13.21,150.7,24.56,0.0
101,2023,123,716.0,13.21,151.1,24.46,0.0
101,2023,123,717.0,13.21,150.9,24.4,0.0
101,2023,123,718.0,13.21,149.8,24.33,0.0
101,2023,123,719.0,13.21,150.9,24.33,0.0
101,2023,123,720.0,13.21,161.6,24.31,0.0
101,2023,123,721.0,13.21,214.6,24.36,0.0
101,2023,123,722.0,13.21,254.2,24.39,0.0
101,2023,123,723.0,13.21,317.9,24.46,0.0
101,2023,123,724.0,13.21,323.4,24.51,0.0
101,2023,123,725.0,13.21,353.8,24.55,0.0
101,2023,123,726.0,13.21,292.2,24.56,0.0
101,2023,123,727.0,13.21,402.0,24.56,0.0
101,2023,123,728.0,13.21,415.6,24.72,0.0
101,2023,123,729.0,13.21,360.5,24.84,0.0
101,2023,123,730.0,13.21,302.6,24.98,0.0
101,2023,123,731.0,13.21,444.2,25.04,0.0
101,2023,123,732.0,13.21,474.1,24.86,0.0
101,2023,123,733.0,13.2,479.8,25.1,0.0
101,2023,123,734.0,13.2,480.6,25.24,0.0
101,2023,123,735.0,13.2,485.2,25.19,0.0
101,2023,123,736.0,13.2,492.9,25.34,0.0
101,2023,123,737.0,13.2,499.3,25.45,0.0
101,2023,123,738.0,13.2,497.3,25.45,0.0
101,2023,123,739.0,13.2,453.0,25.68,0.0
101,2023,123,740.0,13.19,427.3,25.44,0.0
101,2023,123,741.0,13.19,441.4,25.25,0.0
101,2023,123,742.0,13.19,484.1,25.4,0.0
101,2023,123,743.0,13.19,395.6,25.58,0.0
101,2023,123,744.0,13.19,356.4,25.57,0.0
101,2023,123,745.0,13.19,355.3,25.36,0.0
101,2023,123,746.0,13.19,429.8,25.27,0.0
101,2023,123,747.0,13.19,492.5,25.28,0.0
101,2023,123,748.0,13.19,509.1,25.46,0.0
101,2023,123,749.0,13.18,500.8,25.39,0.0
101,2023,123,750.0,13.18,520.9,25.51,0.0
101,2023,123,751.0,13.18,467.9,25.69,0.0
101,2023,123,752.0,13.18,336.0,25.66,0.0
101,2023,123,753.0,13.18,438.6,25.66,0.0
101,2023,123,754.0,13.18,515.5,25.46,0.0
101,2023,123,755.0,13.18,380.8,25.53,0.0
101,2023,123,756.0,13.18,443.8,25.47,0.0
101,2023,123,757.0,13.18,356.4,25.47,0.0
101,2023,123,758.0,13.18,260.2,25.5,0.0
101,2023,123,759.0,13.18,279.3,25.53,0.0
101,2023,123,800.0,13.18,507.3,25.65,0.0
101,2023,123,801.0,13.18,613.2,25.82,0.0
101,2023,123,802.0,13.17,535.9,25.96,0.0
101,2023,123,803.0,13.17,492.1,26.06,0.0
101,2023,123,804.0,13.17,503.3,26.07,0.0
101,2023,123,805.0,13.17,594.9,26.2,0.0
101,2023,123,806.0,13.17,410.0,26.57,0.0
