a,b,dia_juliano,d,e,f,g,h
101,2023,260,530.0,9.57,7.48,22.12,0.0
101,2023,260,531.0,9.58,8.1,22.11,0.0
101,2023,260,532.0,9.57,8.69,22.11,0.0
101,2023,260,533.0,9.58,9.51,22.11,0.0
101,2023,260,534.0,9.56,10.53,22.12,0.0
101,2023,260,535.0,9.58,11.68,22.14,0.0
101,2023,260,536.0,9.57,12.76,22.15,0.0
101,2023,260,537.0,9.58,14.0,22.16,0.0
101,2023,260,538.0,9.57,15.52,22.17,0.0
101,2023,260,539.0,9.58,16.88,22.18,0.0
101,2023,260,540.0,9.58,17.92,22.19,0.0
101,2023,260,541.0,9.6,18.68,22.2,0.0
101,2023,260,542.0,9.61,19.84,22.2,0.0
101,2023,260,543.0,9.61,21.16,22.2,0.0
101,2023,260,544.0,9.61,22.6,22.21,0.0
101,2023,260,545.0,9.64,24.52,22.21,0.0
101,2023,260,546.0,9.64,26.7,22.2,0.0
101,2023,260,547.0,9.68,28.44,22.22,0.0
101,2023,260,548.0,9.69,30.0,22.25,0.0
101,2023,260,549.0,9.71,31.38,22.23,0.0
101,2023,260,550.0,9.73,32.73,22.23,0.0
101,2023,260,551.0,9.74,34.14,22.23,0.0
101,2023,260,552.0,9.76,35.39,22.25,0.0
101,2023,260,553.0,9.79,37.22,22.25,0.0
101,2023,260,554.0,9.8,38.21,22.26,0.0
101,2023,260,555.0,9.81,39.51,22.3,0.0
101,2023,260,556.0,9.83,41.54,22.32,0.0
101,2023,260,557.0,9.86,43.6,22.36,0.0
101,2023,260,558.0,9.86,45.09,22.38,0.0
101,2023,260,559.0,9.88,45.37,22.42,0.0
101,2023,260,600.0,9.88,44.36,22.44,0.0
101,2023,260,601.0,9.89,43.85,22.46,0.0
101,2023,260,602.0,9.92,45.74,22.45,0.0
101,2023,260,603.0,9.93,49.19,22.45,0.0
101,2023,260,604.0,9.94,51.81,22.42,0.0
101,2023,260,605.0,9.93,48.85,22.44,0.0
101,2023,260,606.0,9.93,45.09,22.47,0.0
101,2023,260,607.0,9.94,44.7,22.48,0.0
101,2023,260,608.0,9.95,45.09,22.49,0.0
101,2023,260,609.0,9.96,47.78,22.53,0.0
101,2023,260,610.0,9.97,51.67,22.56,0.0
101,2023,260,611.0,10.0,54.24,22.59,0.0
101,2023,260,612.0,10.02,55.96,22.55,0.0
101,2023,260,613.0,10.04,58.72,22.56,0.0
101,2023,260,614.0,10.05,59.15,22.53,0.0
101,2023,260,615.0,10.07,59.37,22.57,0.0
101,2023,260,616.0,10.09,60.84,22.55,0.0
101,2023,260,617.0,10.13,63.8,22.54,0.0
101,2023,260,618.0,10.13,67.05,22.61,0.0
101,2023,260,619.0,10.15,65.86,22.65,0.0
101,2023,260,620.0,10.13,61.97,22.66,0.0
101,2023,260,621.0,10.14,58.13,22.68,0.0
101,2023,260,622.0,10.14,55.36,22.68,0.0
101,2023,260,623.0,10.18,53.64,22.7,0.0
101,2023,260,624.0,10.22,57.42,22.75,0.0
101,2023,260,625.0,10.24,71.8,22.72,0.0
101,2023,260,626.0,10.24,94.2,22.74,0.0
101,2023,260,627.0,10.24,107.0,22.81,0.0
101,2023,260,628.0,10.23,128.7,22.84,0.0
101,2023,260,629.0,10.23,127.0,22.88,0.0
101,2023,260,630.0,10.23,129.9,22.91,0.0
101,2023,260,631.0,10.24,113.9,22.91,0.0
101,2023,260,632.0,10.24,109.5,22.99,0.0
101,2023,260,633.0,10.24,91.4,22.99,0.0
101,2023,260,634.0,10.24,87.4,23.0,0.0
101,2023,260,635.0,10.23,90.0,23.04,0.0
101,2023,260,636.0,10.23,100.9,23.11,0.0
101,2023,260,637.0,10.24,131.3,23.1,0.0
101,2023,260,638.0,10.24,149.5,23.14,0.0
101,2023,260,639.0,10.23,183.6,23.21,0.0
101,2023,260,640.0,10.24,172.8,23.27,0.0
101,2023,260,641.0,10.24,233.2,23.33,0.0
101,2023,260,642.0,10.23,245.5,23.4,0.0
101,2023,260,643.0,10.24,196.4,23.36,0.0
101,2023,260,644.0,10.24,142.2,23.34,0.0
101,2023,260,645.0,10.23,134.0,23.38,0.0
