a,b,dia_juliano,d,e,f,g,h
101,2023,98,530.0,12.58,3.835,23.37,0.0
101,2023,98,531.0,12.59,4.117,23.37,0.0
101,2023,98,532.0,12.58,4.427,23.37,0.0
101,2023,98,533.0,12.59,4.878,23.37,0.0
101,2023,98,534.0,12.58,5.442,23.38,0.0
101,2023,98,535.0,12.58,6.204,23.38,0.0
101,2023,98,536.0,12.58,7.25,23.39,0.0
101,2023,98,537.0,12.58,8.85,23.4,0.0
101,2023,98,538.0,12.58,11.03,23.41,0.0
101,2023,98,539.0,12.58,12.75,23.41,0.0
101,2023,98,540.0,12.58,13.73,23.41,0.0
101,2023,98,541.0,12.58,14.18,23.42,0.0
101,2023,98,542.0,12.58,14.52,23.44,0.0
101,2023,98,543.0,12.59,15.0,23.45,0.0
101,2023,98,544.0,12.59,14.47,23.46,0.0
101,2023,98,545.0,12.58,13.22,23.5,0.0
101,2023,98,546.0,12.58,12.35,23.51,0.0
101,2023,98,547.0,12.58,12.07,23.49,0.0
101,2023,98,548.0,12.58,11.76,23.49,0.0
101,2023,98,549.0,12.58,11.48,23.49,0.0
101,2023,98,550.0,12.58,11.08,23.49,0.0
101,2023,98,551.0,12.58,11.08,23.48,0.0
101,2023,98,552.0,12.58,11.28,23.47,0.0
101,2023,98,553.0,12.58,11.45,23.48,0.0
101,2023,98,554.0,12.58,11.76,23.48,0.0
101,2023,98,555.0,12.58,12.89,23.49,0.0
101,2023,98,556.0,12.58,13.93,23.49,0.0
101,2023,98,557.0,12.58,14.49,23.49,0.0
101,2023,98,558.0,12.58,14.49,23.5,0.0
101,2023,98,559.0,12.58,14.75,23.52,0.0
101,2023,98,600.0,12.58,15.06,23.51,0.0
101,2023,98,601.0,12.58,15.59,23.5,0.0
101,2023,98,602.0,12.59,16.41,23.53,0.0
101,2023,98,603.0,12.59,17.71,23.53,0.0
101,2023,98,604.0,12.59,19.12,23.54,0.0
101,2023,98,605.0,12.6,20.19,23.53,0.0
101,2023,98,606.0,12.6,21.26,23.55,0.0
101,2023,98,607.0,12.61,22.08,23.56,0.0
101,2023,98,608.0,12.62,23.4,23.56,0.0
101,2023,98,609.0,12.63,26.0,23.57,0.0
101,2023,98,610.0,12.64,29.41,23.59,0.0
101,2023,98,611.0,12.65,33.5,23.6,0.0
101,2023,98,612.0,12.68,39.39,23.62,0.0
101,2023,98,613.0,12.71,49.57,23.61,0.0
101,2023,98,614.0,12.76,63.14,23.63,0.0
101,2023,98,615.0,12.82,79.4,23.67,0.0
101,2023,98,616.0,12.9,97.0,23.7,0.0
101,2023,98,617.0,12.99,111.3,23.75,0.0
101,2023,98,618.0,13.08,118.7,23.78,0.0
101,2023,98,619.0,13.17,119.2,23.83,0.0
101,2023,98,620.0,13.21,117.4,23.91,0.0
101,2023,98,621.0,13.21,120.9,23.9,0.0
101,2023,98,622.0,13.21,131.5,23.87,0.0
101,2023,98,623.0,13.21,134.9,23.9,0.0
101,2023,98,624.0,13.21,150.3,23.95,0.0
101,2023,98,625.0,13.21,159.1,23.98,0.0
101,2023,98,626.0,13.21,156.1,23.96,0.0
101,2023,98,627.0,13.21,137.0,24.03,0.0
101,2023,98,628.0,13.21,124.4,24.02,0.0
101,2023,98,629.0,13.21,128.5,24.0,0.0
101,2023,98,630.0,13.21,159.0,24.04,0.0
101,2023,98,631.0,13.21,189.6,24.13,0.0
101,2023,98,632.0,13.2,174.5,24.07,0.0
101,2023,98,633.0,13.21,173.4,24.03,0.0
101,2023,98,634.0,13.2,189.7,24.1,0.0
101,2023,98,635.0,13.21,187.2,24.23,0.0
101,2023,98,636.0,13.2,154.0,24.24,0.0
101,2023,98,637.0,13.2,138.9,24.3,0.0
101,2023,98,638.0,13.2,121.6,24.3,0.0
