a,b,dia_juliano,d,e,f,g,h
101,2023,261,0.0,9.6,0.0,22.01,0.0
101,2023,261,1.0,9.63,0.0,22.07,0.0
101,2023,261,2.0,9.61,0.0,22.08,0.0
101,2023,261,3.0,9.61,0.0,22.13,0.0
101,2023,261,4.0,9.61,0.0,22.16,0.0
101,2023,261,5.0,9.61,0.0,22.19,0.0
101,2023,261,6.0,9.6,0.0,22.22,0.0
101,2023,261,7.0,9.62,0.0,22.24,0.0
101,2023,261,8.0,9.61,0.0,22.23,0.0
101,2023,261,9.0,9.62,0.0,22.23,0.0
101,2023,261,10.0,9.6,0.0,22.23,0.0
101,2023,261,11.0,9.61,0.0,22.23,0.0
101,2023,261,12.0,9.6,0.0,22.22,0.0
101,2023,261,13.0,9.63,0.0,22.23,0.0
101,2023,261,14.0,9.62,0.0,22.23,0.0
101,2023,261,15.0,9.62,0.0,22.23,0.0
101,2023,261,16.0,9.62,0.0,22.25,0.0
101,2023,261,17.0,9.61,0.0,22.26,0.0
101,2023,261,18.0,9.61,0.0,22.27,0.0
101,2023,261,19.0,9.62,0.0,22.28,0.0
101,2023,261,20.0,9.61,0.0,22.27,0.0
101,2023,261,21.0,9.61,0.0,22.27,0.0
101,2023,261,22.0,9.61,0.0,22.28,0.0
101,2023,261,23.0,9.63,0.0,22.29,0.0
101,2023,261,24.0,9.61,0.0,22.32,0.0
101,2023,261,25.0,9.62,0.0,22.33,0.0
101,2023,261,26.0,9.62,0.0,22.34,0.0
101,2023,261,27.0,9.62,0.0,22.34,0.0
101,2023,261,28.0,9.63,0.0,22.34,0.0
101,2023,261,29.0,9.62,0.0,22.34,0.0
101,2023,261,30.0,9.62,0.0,22.34,0.0
101,2023,261,31.0,9.62,0.0,22.33,0.0
101,2023,261,32.0,9.61,0.0,22.32,0.0
101,2023,261,33.0,9.61,0.0,22.32,0.0
101,2023,261,34.0,9.61,0.0,22.32,0.0
101,2023,261,35.0,9.61,0.0,22.33,0.0
101,2023,261,36.0,9.6,0.0,22.31,0.0
101,2023,261,37.0,9.62,0.0,22.31,0.0
101,2023,261,38.0,9.61,0.0,22.31,0.0
101,2023,261,39.0,9.61,0.0,22.31,0.0
101,2023,261,40.0,9.6,0.0,22.32,0.0
101,2023,261,41.0,9.61,0.0,22.31,0.0
101,2023,261,42.0,9.61,0.0,22.31,0.0
101,2023,261,43.0,9.62,0.0,22.3,0.0
101,2023,261,44.0,9.6,0.0,22.29,0.0
101,2023,261,45.0,9.62,0.0,22.28,0.0
101,2023,261,46.0,9.6,0.0,22.28,0.0
101,2023,261,47.0,9.61,0.0,22.28,0.0
101,2023,261,48.0,9.6,0.0,22.27,0.0
101,2023,261,49.0,9.61,0.0,22.26,0.0
101,2023,261,50.0,9.59,0.0,22.25,0.0
101,2023,261,51.0,9.61,0.0,22.24,0.0
101,2023,261,52.0,9.61,0.0,22.23,0.0
101,2023,261,53.0,9.61,0.0,22.21,0.0
101,2023,261,54.0,9.6,0.0,22.2,0.0
101,2023,261,55.0,9.6,0.0,22.19,0.0
101,2023,261,56.0,9.6,0.0,22.21,0.0
101,2023,261,57.0,9.63,0.0,22.22,0.0
101,2023,261,58.0,9.61,0.0,22.22,0.0
101,2023,261,59.0,9.61,0.0,22.23,0.0
101,2023,261,100.0,9.61,0.0,22.24,0.0
101,2023,261,101.0,9.61,0.0,22.24,0.0
