a,b,dia_juliano,d,e,f,g,h
101,2023,90,530.0,12.57,8.04,21.29,0.0
101,2023,90,531.0,12.58,9.39,21.24,0.0
101,2023,90,532.0,12.59,10.78,21.23,0.0
101,2023,90,533.0,12.6,12.38,21.25,0.0
101,2023,90,534.0,12.61,13.88,21.26,0.0
101,2023,90,535.0,12.62,15.23,21.29,0.0
101,2023,90,536.0,12.63,16.84,21.34,0.0
101,2023,90,537.0,12.65,18.62,21.38,0.0
101,2023,90,538.0,12.66,20.31,21.4,0.0
101,2023,90,539.0,12.67,21.16,21.4,0.0
101,2023,90,540.0,12.68,21.66,21.41,0.0
101,2023,90,541.0,12.69,23.41,21.41,0.0
101,2023,90,542.0,12.7,25.19,21.42,0.0
101,2023,90,543.0,12.71,27.02,21.43,0.0
101,2023,90,544.0,12.73,29.11,21.45,0.0
101,2023,90,545.0,12.75,31.14,21.46,0.0
101,2023,90,546.0,12.77,34.07,21.44,0.0
101,2023,90,547.0,12.82,40.22,21.42,0.0
101,2023,90,548.0,12.89,47.33,21.4,0.0
101,2023,90,549.0,12.97,51.03,21.41,0.0
101,2023,90,550.0,13.05,53.25,21.41,0.0
101,2023,90,551.0,13.22,57.34,21.44,0.0
101,2023,90,552.0,13.28,59.83,21.5,0.0
101,2023,90,553.0,13.28,60.64,21.5,0.0
101,2023,90,554.0,13.28,61.07,21.54,0.0
101,2023,90,555.0,13.28,56.44,21.59,0.0
101,2023,90,556.0,13.28,55.71,21.6,0.0
101,2023,90,557.0,13.28,59.43,21.62,0.0
101,2023,90,558.0,13.28,66.71,21.66,0.0
101,2023,90,559.0,13.28,77.6,21.7,0.0
101,2023,90,600.0,13.28,87.3,21.72,0.0
101,2023,90,601.0,13.28,98.0,21.77,0.0
101,2023,90,602.0,13.28,105.3,21.83,0.0
101,2023,90,603.0,13.28,105.2,21.92,0.0
101,2023,90,604.0,13.27,106.1,21.98,0.0
101,2023,90,605.0,13.27,115.9,21.99,0.0
101,2023,90,606.0,13.27,112.9,22.07,0.0
101,2023,90,607.0,13.27,99.4,22.24,0.0
101,2023,90,608.0,13.27,109.2,22.38,0.0
101,2023,90,609.0,13.27,134.9,22.45,0.0
101,2023,90,610.0,13.27,132.1,22.47,0.0
101,2023,90,611.0,13.27,136.8,22.48,0.0
101,2023,90,612.0,13.26,141.7,22.49,0.0
101,2023,90,613.0,13.26,147.2,22.54,0.0
101,2023,90,614.0,13.26,152.8,22.71,0.0
101,2023,90,615.0,13.26,155.6,22.73,0.0
101,2023,90,616.0,13.26,160.2,22.77,0.0
101,2023,90,617.0,13.26,163.8,22.81,0.0
101,2023,90,618.0,13.26,165.1,22.89,0.0
101,2023,90,619.0,13.26,168.8,22.95,0.0
101,2023,90,620.0,13.26,174.4,23.21,0.0
101,2023,90,621.0,13.26,179.7,23.15,0.0
101,2023,90,622.0,13.26,183.4,23.22,0.0
101,2023,90,623.0,13.26,186.7,23.26,0.0
101,2023,90,624.0,13.25,175.1,23.38,0.0
101,2023,90,625.0,13.26,176.0,23.44,0.0
101,2023,90,626.0,13.25,191.8,23.43,0.0
101,2023,90,627.0,13.25,186.1,23.5,0.0
101,2023,90,628.0,13.25,202.4,23.66,0.0
101,2023,90,629.0,13.25,221.9,23.85,0.0
101,2023,90,630.0,13.25,224.2,24.07,0.0
101,2023,90,631.0,13.25,237.8,24.19,0.0
101,2023,90,632.0,13.25,239.6,24.34,0.0
101,2023,90,633.0,13.25,241.1,24.22,0.0
101,2023,90,634.0,13.24,252.8,24.19,0.0
101,2023,90,635.0,13.24,236.9,24.17,0.0
101,2023,90,636.0,13.24,156.6,23.95,0.0
101,2023,90,637.0,13.24,156.2,23.88,0.0
101,2023,90,638.0,13.24,150.6,23.95,0.0
101,2023,90,639.0,13.24,131.7,24.03,0.0
101,2023,90,640.0,13.24,121.5,24.01,0.0
101,2023,90,641.0,13.24,117.2,23.96,0.0
101,2023,90,642.0,13.24,122.9,24.02,0.0
101,2023,90,643.0,13.24,134.0,24.01,0.0
101,2023,90,644.0,13.24,144.4,23.96,0.0
101,2023,90,645.0,13.24,141.0,23.81,0.0
101,2023,90,646.0,13.24,129.4,23.72,0.0
101,2023,90,647.0,13.24,119.6,23.65,0.0
101,2023,90,648.0,13.24,120.5,23.58,0.0
101,2023,90,649.0,13.24,231.5,23.51,0.0
101,2023,90,650.0,13.24,329.3,23.63,0.0
101,2023,90,651.0,13.24,336.9,23.76,0.0
101,2023,90,652.0,13.24,341.0,23.77,0.0
101,2023,90,653.0,13.23,338.8,23.89,0.0
101,2023,90,654.0,13.23,336.2,24.1,0.0
101,2023,90,655.0,13.23,335.6,24.27,0.0
101,2023,90,656.0,13.23,336.5,24.32,0.0
101,2023,90,657.0,13.23,336.5,24.39,0.0
101,2023,90,658.0,13.23,338.1,24.66,0.0
101,2023,90,659.0,13.22,342.8,24.84,0.0
101,2023,90,700.0,13.22,346.0,25.04,0.0
101,2023,90,701.0,13.22,350.9,25.27,0.0
101,2023,90,702.0,13.22,355.3,25.47,0.0
101,2023,90,703.0,13.22,358.4,25.38,0.0
101,2023,90,704.0,13.22,361.8,25.22,0.0
101,2023,90,705.0,13.22,364.8,25.02,0.0
101,2023,90,706.0,13.21,368.3,24.89,0.0
101,2023,90,707.0,13.21,373.1,24.73,0.0
101,2023,90,708.0,13.21,375.9,24.71,0.0
101,2023,90,709.0,13.21,379.7,24.73,0.0
101,2023,90,710.0,13.21,385.4,24.73,0.0
101,2023,90,711.0,13.2,390.7,24.7,0.0
101,2023,90,712.0,13.2,399.2,24.7,0.0
101,2023,90,713.0,13.2,369.5,24.93,0.0
101,2023,90,714.0,13.2,282.2,25.07,0.0
101,2023,90,715.0,13.2,408.9,25.06,0.0
101,2023,90,716.0,13.2,418.5,25.2,0.0
101,2023,90,717.0,13.2,244.4,25.27,0.0
101,2023,90,718.0,13.19,343.6,25.34,0.0
101,2023,90,719.0,13.19,207.4,25.47,0.0
101,2023,90,720.0,13.19,176.9,25.55,0.0
101,2023,90,721.0,13.19,216.4,25.51,0.0
101,2023,90,722.0,13.19,293.5,25.56,0.0
101,2023,90,723.0,13.19,152.4,25.62,0.0
101,2023,90,724.0,13.19,136.5,25.64,0.0
101,2023,90,725.0,13.19,130.9,25.53,0.0
101,2023,90,726.0,13.19,129.3,25.56,0.0
101,2023,90,727.0,13.19,127.1,25.61,0.0
101,2023,90,728.0,13.19,126.6,25.62,0.0
101,2023,90,729.0,13.2,128.0,25.63,0.0
101,2023,90,730.0,13.2,131.5,25.62,0.0
101,2023,90,731.0,13.2,136.0,25.59,0.0
101,2023,90,732.0,13.2,137.1,25.59,0.0
101,2023,90,733.0,13.2,141.0,25.59,0.0
101,2023,90,734.0,13.2,201.6,25.59,0.0
101,2023,90,735.0,13.2,350.9,25.46,0.0
101,2023,90,736.0,13.2,420.5,25.36,0.0
101,2023,90,737.0,13.2,446.1,25.3,0.0
101,2023,90,738.0,13.2,406.9,25.39,0.0
101,2023,90,739.0,13.2,437.2,25.43,0.0
101,2023,90,740.0,13.19,472.4,25.46,0.0
101,2023,90,741.0,13.19,469.6,25.53,0.0
101,2023,90,742.0,13.19,458.1,25.65,0.0
101,2023,90,743.0,13.19,493.0,25.7,0.0
