a,b,dia_juliano,d,e,f,g,h
101,2023,100,530.0,12.62,6.685,22.65,0.0
101,2023,100,531.0,12.63,8.01,22.65,0.0
101,2023,100,532.0,12.64,9.2,22.65,0.0
101,2023,100,533.0,12.65,10.63,22.69,0.0
101,2023,100,534.0,12.67,12.38,22.66,0.0
101,2023,100,535.0,12.69,14.05,22.66,0.0
101,2023,100,536.0,12.72,16.13,22.68,0.0
101,2023,100,537.0,12.75,17.83,22.73,0.0
101,2023,100,538.0,12.78,19.38,22.81,0.0
101,2023,100,539.0,12.81,22.68,22.89,0.0
101,2023,100,540.0,12.86,25.5,22.88,0.0
101,2023,100,541.0,12.95,26.97,22.84,0.0
101,2023,100,542.0,13.06,28.32,22.82,0.0
101,2023,100,543.0,13.1,29.42,22.84,0.0
101,2023,100,544.0,13.1,30.8,22.87,0.0
101,2023,100,545.0,13.12,33.09,22.89,0.0
101,2023,100,546.0,13.19,35.12,22.9,0.0
101,2023,100,547.0,13.26,37.4,22.92,0.0
101,2023,100,548.0,13.26,40.03,22.95,0.0
101,2023,100,549.0,13.26,41.86,22.94,0.0
101,2023,100,550.0,13.26,43.81,22.97,0.0
101,2023,100,551.0,13.26,45.84,22.95,0.0
101,2023,100,552.0,13.26,47.61,22.95,0.0
101,2023,100,553.0,13.25,49.73,22.95,0.0
101,2023,100,554.0,13.25,52.52,22.98,0.0
101,2023,100,555.0,13.25,55.48,23.0,0.0
101,2023,100,556.0,13.25,58.36,23.02,0.0
101,2023,100,557.0,13.25,61.58,23.0,0.0
101,2023,100,558.0,13.25,64.31,23.04,0.0
101,2023,100,559.0,13.25,66.77,23.11,0.0
101,2023,100,600.0,13.25,69.25,23.12,0.0
101,2023,100,601.0,13.25,71.6,23.13,0.0
101,2023,100,602.0,13.25,73.8,23.18,0.0
101,2023,100,603.0,13.25,76.9,23.31,0.0
101,2023,100,604.0,13.25,80.8,23.43,0.0
101,2023,100,605.0,13.25,84.6,23.41,0.0
101,2023,100,606.0,13.25,88.9,23.47,0.0
101,2023,100,607.0,13.24,93.2,23.63,0.0
101,2023,100,608.0,13.24,97.9,23.66,0.0
101,2023,100,609.0,13.25,101.9,23.59,0.0
101,2023,100,610.0,13.25,104.5,23.53,0.0
101,2023,100,611.0,13.24,111.8,23.58,0.0
101,2023,100,612.0,13.24,121.7,23.57,0.0
101,2023,100,613.0,13.24,130.7,23.59,0.0
101,2023,100,614.0,13.24,139.0,23.62,0.0
101,2023,100,615.0,13.24,146.3,23.6,0.0
101,2023,100,616.0,13.24,153.6,23.66,0.0
101,2023,100,617.0,13.24,158.9,23.74,0.0
101,2023,100,618.0,13.24,162.2,23.75,0.0
101,2023,100,619.0,13.24,165.6,23.78,0.0
101,2023,100,620.0,13.24,167.0,23.98,0.0
101,2023,100,621.0,13.24,166.6,24.12,0.0
101,2023,100,622.0,13.24,167.0,24.14,0.0
101,2023,100,623.0,13.24,168.1,24.29,0.0
101,2023,100,624.0,13.24,166.3,24.44,0.0
101,2023,100,625.0,13.23,161.3,24.4,0.0
101,2023,100,626.0,13.23,157.3,24.35,0.0
101,2023,100,627.0,13.23,157.5,24.32,0.0
101,2023,100,628.0,13.23,160.8,24.28,0.0
101,2023,100,629.0,13.23,165.2,24.36,0.0
101,2023,100,630.0,13.23,170.8,24.45,0.0
101,2023,100,631.0,13.23,176.4,24.48,0.0
101,2023,100,632.0,13.23,180.9,24.51,0.0
101,2023,100,633.0,13.23,185.8,24.63,0.0
101,2023,100,634.0,13.23,190.3,24.67,0.0
101,2023,100,635.0,13.23,194.6,24.69,0.0
101,2023,100,636.0,13.22,198.9,24.75,0.0
101,2023,100,637.0,13.23,203.3,24.82,0.0
101,2023,100,638.0,13.22,203.6,24.76,0.0
101,2023,100,639.0,13.22,204.6,24.78,0.0
101,2023,100,640.0,13.22,209.8,24.89,0.0
101,2023,100,641.0,13.22,214.7,25.04,0.0
101,2023,100,642.0,13.22,218.8,25.06,0.0
101,2023,100,643.0,13.22,220.2,25.06,0.0
101,2023,100,644.0,13.22,222.0,25.14,0.0
101,2023,100,645.0,13.22,225.4,25.19,0.0
101,2023,100,646.0,13.22,229.8,25.26,0.0
101,2023,100,647.0,13.22,233.7,25.29,0.0
101,2023,100,648.0,13.21,237.2,25.31,0.0
101,2023,100,649.0,13.21,240.4,25.43,0.0
101,2023,100,650.0,13.21,244.4,25.38,0.0
101,2023,100,651.0,13.21,247.7,25.33,0.0
101,2023,100,652.0,13.21,250.9,25.35,0.0
101,2023,100,653.0,13.21,254.0,25.4,0.0
101,2023,100,654.0,13.21,256.7,25.44,0.0
101,2023,100,655.0,13.21,260.0,25.48,0.0
101,2023,100,656.0,13.21,263.6,25.51,0.0
101,2023,100,657.0,13.21,267.2,25.58,0.0
101,2023,100,658.0,13.21,269.8,25.55,0.0
101,2023,100,659.0,13.21,273.1,25.51,0.0
101,2023,100,700.0,13.2,275.9,25.54,0.0
101,2023,100,701.0,13.2,278.1,25.52,0.0
101,2023,100,702.0,13.2,281.4,25.76,0.0
101,2023,100,703.0,13.2,284.1,25.8,0.0
101,2023,100,704.0,13.2,287.2,25.71,0.0
101,2023,100,705.0,13.2,291.0,25.72,0.0
101,2023,100,706.0,13.2,295.1,25.93,0.0
101,2023,100,707.0,13.2,299.0,26.02,0.0
101,2023,100,708.0,13.2,302.6,25.99,0.0
101,2023,100,709.0,13.19,306.2,26.05,0.0
101,2023,100,710.0,13.19,310.2,26.05,0.0
101,2023,100,711.0,13.19,313.9,26.05,0.0
101,2023,100,712.0,13.19,318.3,25.93,0.0
101,2023,100,713.0,13.19,324.1,25.95,0.0
101,2023,100,714.0,13.19,328.7,25.95,0.0
101,2023,100,715.0,13.19,333.5,26.1,0.0
101,2023,100,716.0,13.19,337.7,26.04,0.0
101,2023,100,717.0,13.19,341.9,26.02,0.0
101,2023,100,718.0,13.18,345.9,26.08,0.0
101,2023,100,719.0,13.18,350.2,26.16,0.0
101,2023,100,720.0,13.18,354.5,26.3,0.0
101,2023,100,721.0,13.18,357.6,26.38,0.0
101,2023,100,722.0,13.18,360.4,26.45,0.0
101,2023,100,723.0,13.18,363.9,26.41,0.0
101,2023,100,724.0,13.18,365.0,26.18,0.0
101,2023,100,725.0,13.18,367.1,26.13,0.0
101,2023,100,726.0,13.18,367.9,26.16,0.0
101,2023,100,727.0,13.18,370.3,26.29,0.0
101,2023,100,728.0,13.18,373.6,26.4,0.0
101,2023,100,729.0,13.17,381.2,26.48,0.0
101,2023,100,730.0,13.17,388.3,26.47,0.0
101,2023,100,731.0,13.17,394.1,26.43,0.0
101,2023,100,732.0,13.17,399.3,26.52,0.0
101,2023,100,733.0,13.17,404.5,26.55,0.0
101,2023,100,734.0,13.17,408.7,26.73,0.0
101,2023,100,735.0,13.17,416.4,26.73,0.0
101,2023,100,736.0,13.17,425.4,26.69,0.0
101,2023,100,737.0,13.17,433.7,26.85,0.0
101,2023,100,738.0,13.17,437.1,26.98,0.0
101,2023,100,739.0,13.17,436.8,27.1,0.0
101,2023,100,740.0,13.16,436.9,27.02,0.0
101,2023,100,741.0,13.16,439.3,26.93,0.0
101,2023,100,742.0,13.16,451.4,27.07,0.0
101,2023,100,743.0,13.16,462.7,27.09,0.0
101,2023,100,744.0,13.16,465.2,27.04,0.0
101,2023,100,745.0,13.16,482.0,27.0,0.0
101,2023,100,746.0,13.16,497.5,26.97,0.0
101,2023,100,747.0,13.16,509.0,26.96,0.0
101,2023,100,748.0,13.16,523.9,26.92,0.0
101,2023,100,749.0,13.16,507.9,26.94,0.0
101,2023,100,750.0,13.15,530.8,26.98,0.0
101,2023,100,751.0,13.15,527.5,27.01,0.0
101,2023,100,752.0,13.15,528.8,27.0,0.0
101,2023,100,753.0,13.15,535.4,27.03,0.0
101,2023,100,754.0,13.15,553.3,27.15,0.0
101,2023,100,755.0,13.15,544.1,27.39,0.0
101,2023,100,756.0,13.15,598.4,27.52,0.0
101,2023,100,757.0,13.15,563.1,27.42,0.0
101,2023,100,758.0,13.14,246.8,27.33,0.0
101,2023,100,759.0,13.14,290.4,27.14,0.0
101,2023,100,800.0,13.14,478.2,27.06,0.0
101,2023,100,801.0,13.14,381.1,27.13,0.0
101,2023,100,802.0,13.14,634.2,27.2,0.0
101,2023,100,803.0,13.14,675.3,27.21,0.0
101,2023,100,804.0,13.14,652.7,27.29,0.0
101,2023,100,805.0,13.14,648.2,27.41,0.0
101,2023,100,806.0,13.14,651.9,27.42,0.0
101,2023,100,807.0,13.13,650.6,27.45,0.0
101,2023,100,808.0,13.14,640.0,27.48,0.0
101,2023,100,809.0,13.13,392.7,27.52,0.0
101,2023,100,810.0,13.13,442.4,27.49,0.0
101,2023,100,811.0,13.13,517.7,27.59,0.0
101,2023,100,812.0,13.13,530.6,27.6,0.0
101,2023,100,813.0,13.13,604.4,27.67,0.0
101,2023,100,814.0,13.13,616.6,27.83,0.0
101,2023,100,815.0,13.12,601.9,27.89,0.0
101,2023,100,816.0,13.12,411.6,27.86,0.0
101,2023,100,817.0,13.12,280.9,27.85,0.0
101,2023,100,818.0,13.12,289.3,27.79,0.0
101,2023,100,819.0,13.12,312.1,27.64,0.0
101,2023,100,820.0,13.12,234.0,27.58,0.0
101,2023,100,821.0,13.12,398.1,27.55,0.0
101,2023,100,822.0,13.12,669.8,27.54,0.0
101,2023,100,823.0,13.12,313.3,27.54,0.0
101,2023,100,824.0,13.12,413.6,27.56,0.0
101,2023,100,825.0,13.12,361.3,27.63,0.0
101,2023,100,826.0,13.12,291.9,27.66,0.0
101,2023,100,827.0,13.12,255.8,27.64,0.0
101,2023,100,828.0,13.12,244.5,27.5,0.0
101,2023,100,829.0,13.12,243.7,27.49,0.0
101,2023,100,830.0,13.12,509.8,27.5,0.0
101,2023,100,831.0,13.12,757.0,27.6,0.0
101,2023,100,832.0,13.12,732.0,27.69,0.0
101,2023,100,833.0,13.12,576.1,27.51,0.0
101,2023,100,834.0,13.12,423.9,27.46,0.0
101,2023,100,835.0,13.12,237.6,27.49,0.0
101,2023,100,836.0,13.12,222.7,27.59,0.0
101,2023,100,837.0,13.12,227.3,27.65,0.0
101,2023,100,838.0,13.12,325.1,27.71,0.0
101,2023,100,839.0,13.12,484.8,27.75,0.0
101,2023,100,840.0,13.12,756.0,27.79,0.0
101,2023,100,841.0,13.12,699.2,27.92,0.0
101,2023,100,842.0,13.12,767.0,28.04,0.0
101,2023,100,843.0,13.12,766.0,28.17,0.0
101,2023,100,844.0,13.12,755.0,28.16,0.0
101,2023,100,845.0,13.11,749.0,28.33,0.0
101,2023,100,846.0,13.11,744.0,28.26,0.0
101,2023,100,847.0,13.11,724.0,28.24,0.0
101,2023,100,848.0,13.11,701.0,28.25,0.0
101,2023,100,849.0,13.11,706.0,28.45,0.0
101,2023,100,850.0,13.11,691.9,28.47,0.0
101,2023,100,851.0,13.1,514.6,28.64,0.0
101,2023,100,852.0,13.1,738.0,28.68,0.0
101,2023,100,853.0,13.1,755.0,28.59,0.0
101,2023,100,854.0,13.1,764.0,28.54,0.0
101,2023,100,855.0,13.1,768.0,28.51,0.0
101,2023,100,856.0,13.09,775.0,28.57,0.0
101,2023,100,857.0,13.1,787.0,28.67,0.0
101,2023,100,858.0,13.09,805.0,28.65,0.0
101,2023,100,859.0,13.09,785.0,28.66,0.0
101,2023,100,900.0,13.09,831.0,28.78,0.0
101,2023,100,901.0,13.09,840.0,28.8,0.0
101,2023,100,902.0,13.09,833.0,28.73,0.0
101,2023,100,903.0,13.09,821.0,28.8,0.0
101,2023,100,904.0,13.09,815.0,28.74,0.0
101,2023,100,905.0,13.08,818.0,28.79,0.0
101,2023,100,906.0,13.09,820.0,29.11,0.0
101,2023,100,907.0,13.08,838.0,29.25,0.0
101,2023,100,908.0,13.08,848.0,29.16,0.0
101,2023,100,909.0,13.08,831.0,29.2,0.0
101,2023,100,910.0,13.08,447.1,29.31,0.0
101,2023,100,911.0,13.08,436.6,29.09,0.0
101,2023,100,912.0,13.08,627.6,28.82,0.0
101,2023,100,913.0,13.08,778.0,28.8,0.0
101,2023,100,914.0,13.08,801.0,28.94,0.0
101,2023,100,915.0,13.07,592.9,29.13,0.0
101,2023,100,916.0,13.07,814.0,29.01,0.0
101,2023,100,917.0,13.07,626.1,29.01,0.0
