a,b,dia_juliano,d,e,f,g,h
101,2023,97,530.0,12.53,6.036,22.03,0.0
101,2023,97,531.0,12.54,6.77,22.03,0.0
101,2023,97,532.0,12.54,7.47,22.04,0.0
101,2023,97,533.0,12.54,8.32,22.03,0.0
101,2023,97,534.0,12.55,9.11,22.04,0.0
101,2023,97,535.0,12.55,9.87,22.05,0.0
101,2023,97,536.0,12.56,10.89,22.03,0.0
101,2023,97,537.0,12.57,12.02,22.03,0.0
101,2023,97,538.0,12.58,13.79,22.03,0.0
101,2023,97,539.0,12.59,16.19,22.03,0.0
101,2023,97,540.0,12.6,17.32,22.04,0.0
101,2023,97,541.0,12.61,18.5,22.05,0.0
101,2023,97,542.0,12.63,19.66,22.04,0.0
101,2023,97,543.0,12.64,20.0,22.04,0.0
101,2023,97,544.0,12.66,22.42,22.05,0.0
101,2023,97,545.0,12.7,25.22,22.06,0.0
101,2023,97,546.0,12.79,26.99,22.08,0.0
101,2023,97,547.0,12.93,30.66,22.09,0.0
101,2023,97,548.0,13.12,35.71,22.11,0.0
101,2023,97,549.0,13.25,39.55,22.13,0.0
101,2023,97,550.0,13.25,43.1,22.14,0.0
101,2023,97,551.0,13.26,45.24,22.17,0.0
101,2023,97,552.0,13.25,46.82,22.2,0.0
101,2023,97,553.0,13.26,48.15,22.24,0.0
101,2023,97,554.0,13.25,50.57,22.27,0.0
101,2023,97,555.0,13.25,51.7,22.29,0.0
101,2023,97,556.0,13.25,51.25,22.32,0.0
101,2023,97,557.0,13.25,52.83,22.31,0.0
101,2023,97,558.0,13.25,55.23,22.32,0.0
101,2023,97,559.0,13.25,57.99,22.34,0.0
101,2023,97,600.0,13.25,60.87,22.37,0.0
101,2023,97,601.0,13.25,62.14,22.4,0.0
101,2023,97,602.0,13.25,61.97,22.4,0.0
101,2023,97,603.0,13.25,64.45,22.41,0.0
101,2023,97,604.0,13.25,73.9,22.45,0.0
101,2023,97,605.0,13.25,83.6,22.47,0.0
101,2023,97,606.0,13.25,89.3,22.48,0.0
101,2023,97,607.0,13.25,92.7,22.56,0.0
101,2023,97,608.0,13.25,94.3,22.63,0.0
101,2023,97,609.0,13.25,97.7,22.67,0.0
101,2023,97,610.0,13.24,104.2,22.7,0.0
101,2023,97,611.0,13.25,111.9,22.75,0.0
101,2023,97,612.0,13.24,115.8,22.85,0.0
101,2023,97,613.0,13.24,120.9,22.96,0.0
101,2023,97,614.0,13.24,126.7,23.03,0.0
101,2023,97,615.0,13.24,127.9,23.04,0.0
101,2023,97,616.0,13.24,116.3,23.08,0.0
101,2023,97,617.0,13.24,142.2,23.12,0.0
101,2023,97,618.0,13.24,148.8,23.17,0.0
101,2023,97,619.0,13.24,156.4,23.26,0.0
101,2023,97,620.0,13.24,162.6,23.36,0.0
101,2023,97,621.0,13.24,166.3,23.41,0.0
101,2023,97,622.0,13.24,169.9,23.43,0.0
101,2023,97,623.0,13.24,175.9,23.49,0.0
101,2023,97,624.0,13.24,176.4,23.52,0.0
101,2023,97,625.0,13.24,171.6,23.46,0.0
101,2023,97,626.0,13.24,180.9,23.51,0.0
101,2023,97,627.0,13.24,190.6,23.51,0.0
101,2023,97,628.0,13.24,189.4,23.59,0.0
101,2023,97,629.0,13.24,192.6,23.68,0.0
101,2023,97,630.0,13.24,193.5,23.73,0.0
101,2023,97,631.0,13.24,196.3,23.81,0.0
101,2023,97,632.0,13.23,203.1,23.86,0.0
101,2023,97,633.0,13.23,200.5,23.92,0.0
101,2023,97,634.0,13.23,206.6,23.93,0.0
101,2023,97,635.0,13.23,227.4,23.97,0.0
101,2023,97,636.0,13.23,230.7,23.96,0.0
101,2023,97,637.0,13.23,235.4,24.07,0.0
101,2023,97,638.0,13.23,235.9,24.16,0.0
101,2023,97,639.0,13.23,237.5,24.17,0.0
101,2023,97,640.0,13.23,238.4,24.26,0.0
101,2023,97,641.0,13.23,240.3,24.41,0.0
101,2023,97,642.0,13.23,240.2,24.46,0.0
101,2023,97,643.0,13.23,240.0,24.34,0.0
101,2023,97,644.0,13.23,243.6,24.31,0.0
101,2023,97,645.0,13.22,249.1,24.28,0.0
101,2023,97,646.0,13.22,249.3,24.18,0.0
101,2023,97,647.0,13.22,263.0,24.13,0.0
101,2023,97,648.0,13.22,271.1,24.09,0.0
101,2023,97,649.0,13.22,277.8,24.18,0.0
101,2023,97,650.0,13.22,279.7,24.28,0.0
101,2023,97,651.0,13.22,282.2,24.42,0.0
101,2023,97,652.0,13.22,284.5,24.59,0.0
101,2023,97,653.0,13.22,286.1,24.68,0.0
101,2023,97,654.0,13.21,287.9,24.62,0.0
101,2023,97,655.0,13.21,293.4,24.73,0.0
101,2023,97,656.0,13.21,297.8,24.81,0.0
101,2023,97,657.0,13.21,301.8,24.84,0.0
101,2023,97,658.0,13.21,290.9,24.91,0.0
101,2023,97,659.0,13.21,288.0,24.98,0.0
101,2023,97,700.0,13.21,303.4,24.86,0.0
101,2023,97,701.0,13.21,303.5,25.07,0.0
101,2023,97,702.0,13.2,297.7,25.08,0.0
101,2023,97,703.0,13.2,307.9,25.02,0.0
101,2023,97,704.0,13.2,318.8,24.92,0.0
101,2023,97,705.0,13.2,321.6,24.94,0.0
101,2023,97,706.0,13.2,324.7,24.97,0.0
101,2023,97,707.0,13.2,326.9,25.04,0.0
101,2023,97,708.0,13.2,329.5,25.05,0.0
101,2023,97,709.0,13.2,331.0,25.19,0.0
101,2023,97,710.0,13.2,331.8,25.2,0.0
101,2023,97,711.0,13.19,333.5,25.28,0.0
101,2023,97,712.0,13.19,334.4,25.29,0.0
101,2023,97,713.0,13.19,336.5,25.24,0.0
101,2023,97,714.0,13.19,340.4,25.23,0.0
101,2023,97,715.0,13.19,344.8,25.14,0.0
101,2023,97,716.0,13.19,349.7,25.18,0.0
101,2023,97,717.0,13.19,355.9,25.26,0.0
101,2023,97,718.0,13.18,356.5,25.2,0.0
101,2023,97,719.0,13.19,341.7,25.1,0.0
101,2023,97,720.0,13.18,335.6,25.11,0.0
101,2023,97,721.0,13.18,334.2,25.13,0.0
101,2023,97,722.0,13.18,330.1,25.08,0.0
101,2023,97,723.0,13.18,346.6,25.22,0.0
101,2023,97,724.0,13.18,365.6,25.36,0.0
101,2023,97,725.0,13.18,290.3,25.44,0.0
101,2023,97,726.0,13.18,196.8,25.45,0.0
101,2023,97,727.0,13.17,244.7,25.32,0.0
101,2023,97,728.0,13.18,248.1,25.16,0.0
101,2023,97,729.0,13.17,253.7,25.13,0.0
101,2023,97,730.0,13.17,373.9,25.12,0.0
101,2023,97,731.0,13.17,453.6,25.27,0.0
101,2023,97,732.0,13.17,458.9,25.33,0.0
101,2023,97,733.0,13.17,470.3,25.45,0.0
101,2023,97,734.0,13.17,480.7,25.66,0.0
