a,b,dia_juliano,d,e,f,g,h
101,2022,273,530,12.68,49.7,20.72,0
101,2022,273,531,12.71,53.06,20.78,0
101,2022,273,532,12.74,56.56,20.83,0
101,2022,273,533,12.78,58.81,20.86,0
101,2022,273,534,12.86,60.96,20.88,0
101,2022,273,535,12.97,64.4,20.91,0
101,2022,273,536,13.04,67.13,20.93,0
101,2022,273,537,13.08,68.4,20.95,0
101,2022,273,538,13.11,71.9,20.98,0
101,2022,273,539,13.15,76.3,21.01,0
101,2022,273,540,13.19,81.2,21.04,0
101,2022,273,541,13.22,85.9,21.08,0
101,2022,273,542,13.24,87,21.15,0
101,2022,273,543,13.25,87,21.21,0
101,2022,273,544,13.27,88.7,21.24,0
101,2022,273,545,13.29,90.8,21.28,0
101,2022,273,546,13.29,92.4,21.32,0
101,2022,273,547,13.29,93.9,21.37,0
101,2022,273,548,13.29,96.2,21.38,0
101,2022,273,549,13.29,99.2,21.4,0
101,2022,273,550,13.29,101.5,21.41,0
101,2022,273,551,13.29,103.3,21.45,0
101,2022,273,552,13.28,105.9,21.52,0
101,2022,273,553,13.28,108.9,21.68,0
101,2022,273,554,13.28,112.2,21.87,0
101,2022,273,555,13.27,115.7,22.06,0
101,2022,273,556,13.27,119.2,22.26,0
101,2022,273,557,13.27,122.7,22.44,0
101,2022,273,558,13.27,125.8,22.59,0
101,2022,273,559,13.27,129.2,22.75,0
101,2022,273,600,13.27,132.9,22.86,0
101,2022,273,601,13.27,136.7,22.9,0
101,2022,273,602,13.26,138.9,22.91,0
101,2022,273,603,13.23,114.7,22.87,0
101,2022,273,604,13.1,62.87,22.81,0
101,2022,273,605,13.08,59.35,22.68,0
101,2022,273,606,13.08,60.05,22.6,0
101,2022,273,607,13.14,73.4,22.52,0
101,2022,273,608,13.15,73.7,22.47,0
101,2022,273,609,13.17,80.8,22.44,0
101,2022,273,610,13.21,91.4,22.44,0
101,2022,273,611,13.16,79.7,22.46,0
101,2022,273,612,13.19,86.8,22.45,0
101,2022,273,613,13.26,105.4,22.47,0
101,2022,273,614,13.18,85.8,22.48,0
101,2022,273,615,13.13,75.2,22.48,0
101,2022,273,616,13.1,70.4,22.48,0
101,2022,273,617,13.08,67.08,22.45,0
101,2022,273,618,13.08,66.88,22.43,0
101,2022,273,619,13.08,68.01,22.41,0
101,2022,273,620,13.08,68.12,22.41,0
101,2022,273,621,13.15,94,22.43,0
101,2022,273,622,13.28,204.2,22.48,0
101,2022,273,623,13.28,218.2,22.6,0
101,2022,273,624,13.28,226.3,22.79,0
101,2022,273,625,13.28,229.4,22.98,0
101,2022,273,626,13.27,234.8,23.12,0
101,2022,273,627,13.27,246.8,23.22,0
101,2022,273,628,13.26,249.7,23.23,0
101,2022,273,629,13.26,251.1,23.25,0
101,2022,273,630,13.25,251.4,23.18,0
101,2022,273,631,13.25,254.7,23.21,0
101,2022,273,632,13.25,261.1,23.28,0
101,2022,273,633,13.23,159,23.25,0
101,2022,273,634,13.24,212.7,23.2,0
101,2022,273,635,13.21,140.4,23.24,0
101,2022,273,636,13.19,97.7,23.13,0
101,2022,273,637,13.24,163.1,23.13,0
101,2022,273,638,13.24,211.2,23.11,0
101,2022,273,639,13.24,123,22.99,0
101,2022,273,640,13.24,129.4,22.87,0
101,2022,273,641,13.24,161.3,22.8,0
101,2022,273,642,13.24,307.8,22.75,0
101,2022,273,643,13.24,289.4,22.77,0
101,2022,273,644,13.24,333.1,22.71,0
101,2022,273,645,13.24,333.7,22.73,0
101,2022,273,646,13.24,355.3,22.76,0
101,2022,273,647,13.24,350.8,22.93,0
101,2022,273,648,13.23,340.2,23.07,0
101,2022,273,649,13.23,375.2,23.25,0
101,2022,273,650,13.23,372.3,23.51,0
101,2022,273,651,13.22,197,23.7,0
101,2022,273,652,13.22,162.3,23.83,0
101,2022,273,653,13.22,166.8,23.86,0
101,2022,273,654,13.22,184.4,23.82,0
101,2022,273,655,13.22,187.7,23.76,0
101,2022,273,656,13.22,233.6,23.74,0
101,2022,273,657,13.22,242.3,23.72,0
101,2022,273,658,13.22,176.2,23.69,0
101,2022,273,659,13.22,161.6,23.54,0
101,2022,273,700,13.23,335.9,23.45,0
101,2022,273,701,13.23,423.8,23.36,0
101,2022,273,702,13.22,290,23.38,0
101,2022,273,703,13.19,147.5,23.4,0
101,2022,273,704,13.2,140.9,23.3,0
101,2022,273,705,13.21,143.3,23.24,0
101,2022,273,706,13.18,123.8,23.26,0
101,2022,273,707,13.17,120.8,23.27,0
101,2022,273,708,13.17,117.1,23.28,0
101,2022,273,709,13.18,119.6,23.33,0
101,2022,273,710,13.23,150.4,23.37,0
101,2022,273,711,13.23,361.2,23.39,0
101,2022,273,712,13.23,362.7,23.41,0
101,2022,273,713,13.23,216.2,23.43,0
101,2022,273,714,13.23,195.6,23.45,0
101,2022,273,715,13.23,215.5,23.44,0
101,2022,273,716,13.22,262.2,23.44,0
101,2022,273,717,13.22,460.1,23.44,0
101,2022,273,718,13.22,528.1,23.47,0
101,2022,273,719,13.22,516.4,23.58,0
101,2022,273,720,13.22,507.5,23.59,0
101,2022,273,721,13.21,548.9,23.74,0
101,2022,273,722,13.21,526.2,23.79,0
101,2022,273,723,13.21,488,23.9,0
101,2022,273,724,13.21,501.3,24.1,0
101,2022,273,725,13.2,539.2,24.22,0
101,2022,273,726,13.2,553.9,24.29,0
101,2022,273,727,13.2,567.9,24.3,0
101,2022,273,728,13.2,565.3,24.45,0
101,2022,273,729,13.19,565.4,24.62,0
101,2022,273,730,13.19,585.1,24.81,0
101,2022,273,731,13.19,594,25.01,0
101,2022,273,732,13.19,604.6,24.85,0
101,2022,273,733,13.18,612.5,24.86,0
101,2022,273,734,13.18,618.2,25.11,0
101,2022,273,735,13.18,620.6,25.04,0
101,2022,273,736,13.18,620.3,24.99,0
101,2022,273,737,13.18,621.1,24.99,0
101,2022,273,738,13.18,627.9,25.19,0
101,2022,273,739,13.17,616.9,25.34,0
101,2022,273,740,13.17,346.8,25.53,0
101,2022,273,741,13.17,283,25.32,0
101,2022,273,742,13.17,512,25.32,0
101,2022,273,743,13.17,628.7,25.56,0
101,2022,273,744,13.17,579.4,25.77,0
101,2022,273,745,13.16,523.8,26.01,0
101,2022,273,746,13.16,565.1,26.18,0
101,2022,273,747,13.16,417.8,26.3,0
101,2022,273,748,13.16,472.9,26.49,0
101,2022,273,749,13.16,415.1,26.43,0
101,2022,273,750,13.16,591.2,26.41,0
101,2022,273,751,13.16,656.1,26.43,0
101,2022,273,752,13.16,778,26.26,0
101,2022,273,753,13.16,756,26.1,0
101,2022,273,754,13.15,755,26.13,0
101,2022,273,755,13.16,751,26.22,0
101,2022,273,756,13.16,748,26.42,0
101,2022,273,757,13.15,738,26.55,0
101,2022,273,758,13.15,763,26.45,0
101,2022,273,759,13.15,734,26.23,0
101,2022,273,800,13.15,304.5,25.94,0
101,2022,273,801,13.15,285.2,25.9,0
101,2022,273,802,13.15,306,26,0
101,2022,273,803,13.13,250,25.81,0
101,2022,273,804,13.11,213.4,25.43,0
101,2022,273,805,13.09,177.6,25.26,0
101,2022,273,806,13.07,141.3,25.42,0
101,2022,273,807,13.05,107.8,25.48,0
101,2022,273,808,13.03,79.7,25.43,0
101,2022,273,809,13.01,58.86,25.23,0
101,2022,273,810,12.99,45.69,25.01,0
101,2022,273,811,12.98,39.1,24.69,0
101,2022,273,812,12.98,38.53,24.51,0
101,2022,273,813,12.97,41.8,24.49,0
101,2022,273,814,12.97,46.31,24.45,0
101,2022,273,815,12.97,50.54,24.28,0
101,2022,273,816,12.98,56.07,24.09,0
101,2022,273,817,12.98,63.68,23.95,0
101,2022,273,818,12.99,72.8,23.74,0
101,2022,273,819,12.99,81,23.6,0
101,2022,273,820,13,88.8,23.55,0
101,2022,273,821,13.01,99,23.53,0
101,2022,273,822,13.02,108.8,23.49,0
101,2022,273,823,13.02,116.3,23.41,0
101,2022,273,824,13.03,121,23.35,0
101,2022,273,825,13.04,123.2,23.23,0
101,2022,273,826,13.06,122.2,23.14,0
101,2022,273,827,13.07,125.3,23.02,0
101,2022,273,828,13.08,133.8,22.97,0
101,2022,273,829,13.09,145.1,22.9,0
101,2022,273,830,13.1,157.6,22.85,0
101,2022,273,831,13.12,168.5,22.84,0
101,2022,273,832,13.13,177.2,22.79,0
101,2022,273,833,13.14,183.9,22.81,0
101,2022,273,834,13.14,190.3,22.81,0
101,2022,273,835,13.14,195.1,22.82,0
101,2022,273,836,13.15,197.2,22.82,0
101,2022,273,837,13.15,195.6,22.86,0
101,2022,273,838,13.16,195.1,22.84,0
101,2022,273,839,13.16,199.8,22.86,0
101,2022,273,840,13.17,205.3,22.89,0
101,2022,273,841,13.18,209.3,22.92,0
101,2022,273,842,13.18,213.8,22.93,0
101,2022,273,843,13.2,221.4,22.91,0
101,2022,273,844,13.21,231.8,22.97,0
101,2022,273,845,13.21,244.4,23.02,0
101,2022,273,846,13.21,255.6,23.07,0
