a,b,dia_juliano,d,e,f,g,h
101,2022,365,530,13.25,45.26,21.82,0.0
101,2022,365,531,13.26,47.17,21.85,0.0
101,2022,365,532,13.26,48.27,21.88,0.0
101,2022,365,533,13.26,48.92,21.91,0.0
101,2022,365,534,13.26,49.88,21.94,0.0
101,2022,365,535,13.26,50.76,21.98,0.0
101,2022,365,536,13.26,52.5,22.02,0.0
101,2022,365,537,13.26,57.52,22.04,0.0
101,2022,365,538,13.26,66.43,22.07,0.0
101,2022,365,539,13.26,73.8,22.1,0.0
101,2022,365,540,13.26,76.8,22.12,0.0
101,2022,365,541,13.26,78.8,22.14,0.0
101,2022,365,542,13.26,80.9,22.13,0.0
101,2022,365,543,13.26,82.8,22.16,0.0
101,2022,365,544,13.26,84.6,22.19,0.0
101,2022,365,545,13.26,86.1,22.24,0.0
101,2022,365,546,13.26,85.8,22.3,0.0
101,2022,365,547,13.26,84.2,22.39,0.0
101,2022,365,548,13.26,84.6,22.49,0.0
101,2022,365,549,13.26,84.5,22.59,0.0
101,2022,365,550,13.26,86.6,22.67,0.0
101,2022,365,551,13.26,86.4,22.75,0.0
101,2022,365,552,13.26,80.8,22.78,0.0
101,2022,365,553,13.26,80.1,22.81,0.0
101,2022,365,554,13.26,80.8,22.84,0.0
101,2022,365,555,13.26,77.5,22.91,0.0
101,2022,365,556,13.26,57.3,22.98,0.0
101,2022,365,557,13.26,47.12,23.03,0.0
101,2022,365,558,13.26,46.02,22.98,0.0
101,2022,365,559,13.26,45.54,22.95,0.0
101,2022,365,600,13.26,42.41,22.96,0.0
101,2022,365,601,13.26,42.21,22.96,0.0
101,2022,365,602,13.26,42.29,22.97,0.0
101,2022,365,603,13.26,42.8,22.97,0.0
101,2022,365,604,13.26,43.23,22.91,0.0
101,2022,365,605,13.26,43.65,22.92,0.0
101,2022,365,606,13.26,43.76,22.92,0.0
101,2022,365,607,13.26,43.9,22.9,0.0
101,2022,365,608,13.26,44.02,22.9,0.0
101,2022,365,609,13.26,43.87,22.89,0.0
101,2022,365,610,13.26,43.87,22.91,0.0
101,2022,365,611,13.26,44.41,22.92,0.0
101,2022,365,612,13.25,44.97,22.93,0.0
101,2022,365,613,13.26,46.07,22.86,0.0
101,2022,365,614,13.26,47.73,22.78,0.0
101,2022,365,615,13.25,49.93,22.74,0.0
101,2022,365,616,13.25,54.84,22.75,0.0
101,2022,365,617,13.25,61.13,22.8,0.0
101,2022,365,618,13.26,61.91,22.85,0.0
101,2022,365,619,13.25,63.01,22.9,0.0
101,2022,365,620,13.25,66.2,22.92,0.0
101,2022,365,621,13.25,88.2,22.92,0.0
101,2022,365,622,13.25,97.6,22.98,0.0
101,2022,365,623,13.25,100.6,23.07,0.0
101,2022,365,624,13.25,74.6,23.15,0.0
101,2022,365,625,13.25,59.97,23.15,0.0
101,2022,365,626,13.25,59.35,23.13,0.0
101,2022,365,627,13.25,61.18,23.1,0.0
101,2022,365,628,13.25,63.69,23.04,0.0
101,2022,365,629,13.25,68.4,23.03,0.0
101,2022,365,630,13.25,96.4,23.03,0.0
101,2022,365,631,13.25,175.8,23.05,0.0
101,2022,365,632,13.25,203.8,23.14,0.0
