a,b,dia_juliano,d,e,f,g,h
101,2022,292,530,12.95,25.76,21.26,0
101,2022,292,531,12.96,26.05,21.26,0
101,2022,292,532,12.96,25.37,21.26,0
101,2022,292,533,12.96,23.34,21.28,0
101,2022,292,534,12.95,22.75,21.28,0
101,2022,292,535,12.96,23.65,21.27,0
101,2022,292,536,12.96,23.76,21.26,0
101,2022,292,537,12.98,24.92,21.27,0
101,2022,292,538,13.01,28.84,21.28,0
101,2022,292,539,13.04,33.91,21.29,0
101,2022,292,540,13.07,38.03,21.3,0
101,2022,292,541,13.11,42.23,21.32,0
101,2022,292,542,13.14,44.17,21.33,0
101,2022,292,543,13.17,46.28,21.33,0
101,2022,292,544,13.21,49.44,21.33,0
101,2022,292,545,13.24,48.62,21.33,0
101,2022,292,546,13.28,46.96,21.34,0
101,2022,292,547,13.29,47.55,21.37,0
101,2022,292,548,13.29,47.95,21.39,0
101,2022,292,549,13.29,61.59,21.42,0
101,2022,292,550,13.29,61.99,21.46,0
101,2022,292,551,13.29,69.6,21.5,0
101,2022,292,552,13.29,106.4,21.54,0
101,2022,292,553,13.29,131,21.57,0
101,2022,292,554,13.29,142.7,21.71,0
101,2022,292,555,13.29,154.6,21.76,0
101,2022,292,556,13.29,162.5,21.89,0
101,2022,292,557,13.29,175.6,22.04,0
101,2022,292,558,13.28,189.5,22.09,0
101,2022,292,559,13.29,202,22.12,0
101,2022,292,600,13.29,209.4,22.32,0
101,2022,292,601,13.28,213.8,22.5,0
101,2022,292,602,13.28,215.7,22.63,0
101,2022,292,603,13.28,214.4,22.73,0
101,2022,292,604,13.28,206.1,22.86,0
101,2022,292,605,13.28,196.1,23,0
101,2022,292,606,13.28,189.9,23.15,0
101,2022,292,607,13.28,190.4,23.25,0
101,2022,292,608,13.28,191.6,23.37,0
101,2022,292,609,13.27,181.9,23.45,0
101,2022,292,610,13.27,192.5,23.55,0
101,2022,292,611,13.27,194.7,23.55,0
101,2022,292,612,13.27,194.9,23.62,0
101,2022,292,613,13.27,194.9,23.67,0
101,2022,292,614,13.26,195.7,23.77,0
101,2022,292,615,13.26,197.7,23.85,0
101,2022,292,616,13.26,199.9,23.96,0
101,2022,292,617,13.26,203.5,24.01,0
101,2022,292,618,13.26,208.2,24.05,0
101,2022,292,619,13.26,212.6,24.1,0
101,2022,292,620,13.26,217.8,24.17,0
101,2022,292,621,13.26,220.6,24.16,0
101,2022,292,622,13.26,223.1,24.25,0
101,2022,292,623,13.26,225.4,24.3,0
101,2022,292,624,13.25,230.3,24.31,0
101,2022,292,625,13.25,232.7,24.32,0
101,2022,292,626,13.25,236.4,24.33,0
101,2022,292,627,13.25,240.4,24.46,0
101,2022,292,628,13.25,246.1,24.51,0
101,2022,292,629,13.25,252.5,24.58,0
101,2022,292,630,13.25,260.7,24.65,0
101,2022,292,631,13.24,267.1,24.71,0
101,2022,292,632,13.24,275.5,24.78,0
101,2022,292,633,13.24,281.5,24.72,0
101,2022,292,634,13.24,178.6,24.69,0
101,2022,292,635,13.24,274.4,24.75,0
101,2022,292,636,13.24,243.2,24.71,0
101,2022,292,637,13.24,173.7,24.63,0
101,2022,292,638,13.23,310.9,24.64,0
101,2022,292,639,13.24,344.3,24.73,0
101,2022,292,640,13.23,288.3,24.67,0
101,2022,292,641,13.23,245,24.61,0
101,2022,292,642,13.23,331.2,24.63,0
101,2022,292,643,13.23,334.7,24.65,0
101,2022,292,644,13.23,279.5,24.66,0
101,2022,292,645,13.23,232.2,24.74,0
101,2022,292,646,13.23,231.4,24.72,0
101,2022,292,647,13.23,239.6,24.76,0
101,2022,292,648,13.23,247.9,24.82,0
101,2022,292,649,13.23,270.6,24.8,0
101,2022,292,650,13.22,338.6,24.71,0
101,2022,292,651,13.22,385.1,24.7,0
101,2022,292,652,13.22,389.8,24.72,0
101,2022,292,653,13.22,386.9,24.74,0
101,2022,292,654,13.22,379.2,24.76,0
101,2022,292,655,13.22,375.2,24.8,0
101,2022,292,656,13.22,372.6,24.95,0
101,2022,292,657,13.22,379.3,25.04,0
101,2022,292,658,13.22,331.2,25.06,0
101,2022,292,659,13.22,227.3,25.03,0
101,2022,292,700,13.22,380.4,25.04,0
101,2022,292,701,13.21,389.8,25.17,0
101,2022,292,702,13.21,397.3,25.14,0
101,2022,292,703,13.21,398.3,25.17,0
101,2022,292,704,13.21,404.9,25.09,0
101,2022,292,705,13.21,415.2,25.17,0
101,2022,292,706,13.21,416.9,25.13,0
101,2022,292,707,13.21,325.1,25.06,0
101,2022,292,708,13.21,206.2,25.03,0
101,2022,292,709,13.21,164.5,25.02,0
101,2022,292,710,13.21,183.9,25,0
101,2022,292,711,13.21,154.5,25.02,0
101,2022,292,712,13.21,257.7,25.04,0
101,2022,292,713,13.21,426.6,25.04,0
101,2022,292,714,13.2,490.3,25.07,0
101,2022,292,715,13.21,419.3,25.15,0
101,2022,292,716,13.2,294.4,25.12,0
101,2022,292,717,13.21,291.2,25.11,0
101,2022,292,718,13.2,326.4,25.13,0
101,2022,292,719,13.21,250.2,25.13,0
101,2022,292,720,13.2,155.8,25.13,0
101,2022,292,721,13.21,143.3,25.16,0
101,2022,292,722,13.2,145.3,25.09,0
101,2022,292,723,13.21,150.9,25.02,0
101,2022,292,724,13.2,158.9,24.95,0
101,2022,292,725,13.21,178.2,24.91,0
101,2022,292,726,13.21,214.4,24.92,0
101,2022,292,727,13.21,248.4,24.89,0
101,2022,292,728,13.21,263.7,24.85,0
101,2022,292,729,13.21,265.5,24.85,0
101,2022,292,730,13.21,340.5,24.86,0
101,2022,292,731,13.21,262.7,24.89,0
101,2022,292,732,13.21,211,24.91,0
101,2022,292,733,13.21,474,24.79,0
101,2022,292,734,13.21,647.5,24.76,0
101,2022,292,735,13.21,668.1,24.86,0
101,2022,292,736,13.21,608.9,24.92,0
101,2022,292,737,13.2,625.1,25.1,0
101,2022,292,738,13.2,635.7,25.22,0
101,2022,292,739,13.21,628.7,25.36,0
101,2022,292,740,13.2,599,25.51,0
101,2022,292,741,13.2,325.7,25.69,0
101,2022,292,742,13.2,477.9,25.77,0
101,2022,292,743,13.2,421.5,25.74,0
101,2022,292,744,13.2,344.1,25.77,0
101,2022,292,745,13.2,391.4,25.77,0
101,2022,292,746,13.19,670.4,25.72,0
101,2022,292,747,13.2,677.1,25.78,0
101,2022,292,748,13.19,674.1,25.79,0
101,2022,292,749,13.19,477.8,25.68,0
101,2022,292,750,13.19,227.9,25.79,0
101,2022,292,751,13.19,186.5,25.82,0
101,2022,292,752,13.19,176.3,25.77,0
101,2022,292,753,13.19,246.8,25.76,0
101,2022,292,754,13.19,346.9,25.71,0
101,2022,292,755,13.19,247.7,25.66,0
101,2022,292,756,13.19,243.4,25.7,0
101,2022,292,757,13.19,248.8,25.74,0
101,2022,292,758,13.19,531.5,25.71,0
101,2022,292,759,13.19,562.8,25.74,0
101,2022,292,800,13.19,329.2,25.76,0
101,2022,292,801,13.19,364.1,25.74,0
101,2022,292,802,13.19,426.9,25.71,0
101,2022,292,803,13.19,332.5,25.8,0
101,2022,292,804,13.19,707,25.92,0
101,2022,292,805,13.19,767,26.02,0
101,2022,292,806,13.19,737,26.09,0
101,2022,292,807,13.19,720,26.14,0
101,2022,292,808,13.19,713,26.27,0
101,2022,292,809,13.18,715,26.34,0
101,2022,292,810,13.18,725,26.32,0
101,2022,292,811,13.18,725,26.37,0
101,2022,292,812,13.18,581.3,26.41,0
101,2022,292,813,13.18,730,26.44,0
101,2022,292,814,13.18,801,26.43,0
101,2022,292,815,13.18,347.2,26.53,0
101,2022,292,816,13.18,716,26.6,0
101,2022,292,817,13.18,785,26.61,0
101,2022,292,818,13.17,778,26.6,0
101,2022,292,819,13.17,781,26.73,0
101,2022,292,820,13.17,721,26.77,0
101,2022,292,821,13.17,419.9,26.77,0
101,2022,292,822,13.17,253.9,26.57,0
101,2022,292,823,13.17,517.6,26.52,0
101,2022,292,824,13.17,795,26.59,0
101,2022,292,825,13.17,813,26.65,0
101,2022,292,826,13.17,795,26.7,0
101,2022,292,827,13.17,802,26.71,0
101,2022,292,828,13.17,555.9,26.8,0
101,2022,292,829,13.17,537.1,26.67,0
101,2022,292,830,13.17,826,26.58,0
101,2022,292,831,13.17,834,26.64,0
101,2022,292,832,13.17,826,26.73,0
101,2022,292,833,13.17,820,26.85,0
101,2022,292,834,13.16,700,26.82,0
101,2022,292,835,13.16,434.2,26.75,0
101,2022,292,836,13.16,621.2,26.68,0
101,2022,292,837,13.16,630.2,26.74,0
101,2022,292,838,13.16,438.1,26.74,0
101,2022,292,839,13.17,354.8,26.7,0
101,2022,292,840,13.16,767,26.75,0
101,2022,292,841,13.16,757,26.81,0
101,2022,292,842,13.17,294.6,26.84,0
101,2022,292,843,13.16,272.6,26.71,0
101,2022,292,844,13.17,282.9,26.68,0
101,2022,292,845,13.16,574.1,26.6,0
101,2022,292,846,13.16,908,26.71,0
101,2022,292,847,13.17,889,26.81,0
101,2022,292,848,13.16,862,26.92,0
101,2022,292,849,13.17,559.3,26.96,0
101,2022,292,850,13.16,406.7,26.99,0
101,2022,292,851,13.16,595.4,26.78,0
101,2022,292,852,13.16,839,26.73,0
101,2022,292,853,13.16,917,26.77,0
101,2022,292,854,13.16,696.2,26.96,0
101,2022,292,855,13.16,845,27.18,0
101,2022,292,856,13.16,709,27.18,0
101,2022,292,857,13.16,461.1,27.18,0
101,2022,292,858,13.16,829,27.24,0
101,2022,292,859,13.16,924,27.34,0
101,2022,292,900,13.16,888,27.45,0
101,2022,292,901,13.16,777,27.49,0
101,2022,292,902,13.16,349,27.36,0
101,2022,292,903,13.16,853,27.43,0
101,2022,292,904,13.16,621.8,27.51,0
101,2022,292,905,13.16,823,27.51,0
101,2022,292,906,13.16,913,27.59,0
101,2022,292,907,13.16,912,27.84,0
101,2022,292,908,13.16,616.6,27.88,0
101,2022,292,909,13.17,842,27.9,0
101,2022,292,910,13.16,517,27.83,0
101,2022,292,911,13.16,901,27.76,0
101,2022,292,912,13.16,974,27.88,0
101,2022,292,913,13.16,974,27.81,0
101,2022,292,914,13.16,804,27.86,0
101,2022,292,915,13.16,905,27.83,0
101,2022,292,916,13.17,915,27.73,0
101,2022,292,917,13.16,908,27.82,0
101,2022,292,918,13.16,910,27.75,0
101,2022,292,919,13.16,925,27.79,0
101,2022,292,920,13.16,968,27.82,0
101,2022,292,921,13.17,875,27.84,0
101,2022,292,922,13.16,1019,27.87,0
101,2022,292,923,13.16,1018,27.97,0
101,2022,292,924,13.16,1018,27.81,0
101,2022,292,925,13.16,1008,27.77,0
101,2022,292,926,13.16,992,27.9,0
101,2022,292,927,13.16,986,28.01,0
101,2022,292,928,13.16,979,27.96,0
101,2022,292,929,13.16,979,28.1,0
101,2022,292,930,13.16,985,28.12,0
101,2022,292,931,13.16,998,28.07,0
101,2022,292,932,13.16,1012,28.23,0
101,2022,292,933,13.16,1032,28.19,0
101,2022,292,934,13.16,1048,27.92,0
101,2022,292,935,13.16,660.2,28.1,0
101,2022,292,936,13.16,683,28.16,0
101,2022,292,937,13.16,1085,28.06,0
101,2022,292,938,13.16,1083,27.92,0
101,2022,292,939,13.16,1071,27.71,0
101,2022,292,940,13.16,1060,27.92,0
101,2022,292,941,13.16,1046,28.09,0
101,2022,292,942,13.16,1040,27.76,0
101,2022,292,943,13.16,1067,27.67,0
101,2022,292,944,13.16,805,27.67,0
