Dia_Juliano,Soma_Irradiacao_kWh,Temperatura_Media,Temperatura_Media_cell,Data
154,3.83921015,24.15711111111111,29.156082660590275,03/06/2023
155,4.7803738000000005,23.984069444444444,30.208514496527776,04/06/2023
156,4.548088983333333,23.928381944444443,29.850372808159722,05/06/2023
157,2.8033016166666664,23.24424305555556,26.894375368923615,06/06/2023
158,4.1288866833333335,24.016305555555554,29.392460091145832,07/06/2023
159,5.684176383333334,24.497840277777776,31.899111610243057,08/06/2023
160,4.360777716666666,24.15329861111111,29.83139459635417,09/06/2023
161,5.970657500000001,24.490763888888885,32.265057508680556,10/06/2023
162,5.0699441,24.17022916666667,30.771718880208336,11/06/2023
163,5.091697849999999,24.327708333333334,30.9575232421875,12/06/2023
164,5.219642683333333,24.72665277777778,31.523062521701387,13/06/2023
165,2.5070858,23.17338888888889,26.43782352430555,14/06/2023
166,2.8205830333333335,23.445013888888887,27.117648046875,15/06/2023
167,6.156126866666668,24.25453472222222,32.27032491319445,16/06/2023
168,1.7019623833333333,23.12233333333333,25.338430186631946,17/06/2023
169,3.1810242166666667,23.56382638888889,27.705785004340278,18/06/2023
170,2.5238377333333335,23.279159722222225,26.565406770833338,19/06/2023
171,4.8732728000000005,23.870006944444444,30.215414236111116,20/06/2023
172,3.5063409333333335,23.17855555555556,27.744103645833334,21/06/2023
173,3.8325241,23.12525694444444,28.11552269965278,22/06/2023
174,3.8032951333333336,23.26236111111111,28.214568315972222,23/06/2023
175,3.3277389,22.77342361111111,27.10641697048611,24/06/2023
176,4.650817966666667,23.595909722222224,29.651662282986116,25/06/2023
177,4.036549983333333,22.755729166666665,28.01165362413194,26/06/2023
178,3.83010145,22.728368055555556,27.71547931857639,27/06/2023
179,2.576993966666667,22.430888888888887,25.786349782986115,28/06/2023
180,2.96498395,22.921118055555556,26.78177424045139,29/06/2023
181,2.92347495,23.543333333333333,27.349941341145833,30/06/2023
182,3.0019173833333332,23.02599305555556,26.934739648437503,01/07/2023
183,2.66871375,22.377659722222223,25.852547417534716,02/07/2023
184,3.356045583333333,23.371930555555558,27.741781575520832,03/07/2023
185,2.7105019166666664,22.709631944444446,26.238931315104168,04/07/2023
186,2.5863169333333333,22.240472222222223,25.60807239583334,05/07/2023
187,2.6419873500000004,22.63200694444445,26.072094639756944,06/07/2023
188,2.1101013666666666,23.670805555555553,26.418333376736115,07/07/2023
189,3.515366466666667,23.687027777777782,28.264327864583336,08/07/2023
190,2.519380883333333,22.88372222222222,26.164166080729167,09/07/2023
191,4.578852533333333,24.187736111111107,30.149783680555558,10/07/2023
192,4.54953075,24.090194444444446,30.014062608506944,11/07/2023
193,5.1488066833333335,23.89923611111111,30.60341148003472,12/07/2023
194,4.0416365,23.471722222222223,28.734269748263888,13/07/2023
195,5.864704983333333,24.17460416666666,31.810938780381942,14/07/2023
196,4.614776466666666,24.56008333333333,30.568906857638886,15/07/2023
197,5.431134316666666,23.969791666666666,31.041581141493054,16/07/2023
198,4.480471250000001,22.9764375,28.810384440104166,17/07/2023
199,5.620074916666667,23.621909722222224,30.93971560329861,18/07/2023
200,3.4988635,22.99895138888889,27.55476323784722,19/07/2023
201,4.007139016666667,22.623993055555555,27.841621983506947,20/07/2023
202,5.029553633333333,22.993645833333332,29.54254379340278,21/07/2023
203,4.72294485,22.601256944444444,28.750924717881944,22/07/2023
204,5.735949883333333,23.227027777777778,30.695712521701388,23/07/2023
205,5.2445883,22.952583333333333,29.781474348958334,24/07/2023
206,5.551990366666667,23.135944444444444,30.365098567708337,25/07/2023
207,5.8758326,23.135708333333334,30.786532031249997,26/07/2023
208,5.566816566666667,23.580562499999996,30.82902157118055,27/07/2023
209,5.524120016666667,23.924375000000005,31.117239605034722,28/07/2023
210,4.762213933333333,23.138826388888887,29.33962578125,29/07/2023
211,5.91431505,23.785909722222225,31.48684077690972,30/07/2023
212,6.153103099999999,23.238034722222224,31.249887717013888,31/07/2023
213,3.80603715,23.524625,28.4804025390625,01/08/2023
214,4.574444183333334,23.360243055555557,29.316550585937502,02/08/2023
215,4.424193383333333,22.665965277777776,28.426633745659725,03/08/2023
216,4.955172949999999,22.509,28.961048111979167,04/08/2023
217,6.005577383333334,23.199986111111112,31.019748328993057,05/08/2023
218,5.476080583333333,23.805833333333336,30.936146592881943,06/08/2023
219,4.585485583333333,22.911152777777776,28.881837131076388,07/08/2023
220,3.6155875,22.66928472222222,27.37708094618056,08/08/2023
221,4.470316583333333,23.46463194444445,29.28535666232639,09/08/2023
222,5.262871533333334,23.552784722222217,30.405482031250003,10/08/2023
223,4.5913089,22.888472222222223,28.866739019097224,11/08/2023
224,5.829595100000001,23.224618055555553,30.815236675347226,12/08/2023
225,5.262811466666667,22.979243055555557,29.83186215277778,13/08/2023
226,4.16258695,22.142604166666665,27.5626392578125,14/08/2023
227,5.849047233333333,22.649506944444447,30.265453862847224,15/08/2023
228,6.172744016666667,23.484375,31.52180210503472,16/08/2023
229,5.07436985,23.244791666666668,29.852044075520837,17/08/2023
230,3.1682462333333334,21.9390625,26.064383116319444,18/08/2023
231,3.0674518,22.763055555555557,26.757133420138892,19/08/2023
232,3.84405875,23.519798611111113,28.525083441840284,20/08/2023
233,3.912187016666666,24.73248611111111,29.82647962239583,21/08/2023
234,5.465763300000001,24.526750000000003,31.643629296875,22/08/2023
235,5.1173887333333345,24.026791666666668,30.69005824652778,23/08/2023
236,6.234164216666667,24.338500000000003,32.45590132378473,24/08/2023
237,5.911854133333334,23.86252777777778,31.560254513888893,25/08/2023
238,5.861233816666666,24.267729166666665,31.899544032118058,26/08/2023
239,5.1154506333333325,25.1183125,31.779055512152777,27/08/2023
240,5.51594875,25.416701388888892,32.59892632378472,28/08/2023
241,5.73658745,25.299291666666665,32.76880657552083,29/08/2023
242,5.9576945,24.75461111111111,32.512025824652774,30/08/2023
243,6.28166565,24.75609722222222,32.93534937065972,31/08/2023
244,6.420351233333334,24.398458333333334,32.75829066840278,01/09/2023
245,3.5714734166666666,23.65582638888889,28.30618240017361,02/09/2023
246,6.174059316666667,24.070055555555555,32.10919529079861,03/09/2023
247,4.438665933333334,23.469638888888888,29.249151822916666,04/09/2023
248,6.123724749999999,24.495291666666667,32.4688916015625,05/09/2023
249,5.429185283333334,23.578256944444448,30.647508615451386,06/09/2023
250,2.6769844000000003,22.201659722222225,25.68731649305555,07/09/2023
251,5.1757,23.846319444444443,30.585512152777774,08/09/2023
252,5.6640453,23.76267361111111,31.137732595486113,09/09/2023
253,3.5654022666666667,22.966569444444445,27.6090203125,10/09/2023
254,4.487290116666667,22.97310416666667,28.815929839409723,11/09/2023
255,4.351631716666667,23.140805555555552,28.80699268663194,12/09/2023
256,5.868921,23.74054166666667,31.382365885416664,13/09/2023
257,4.54978525,22.993076388888888,28.917275933159726,14/09/2023
258,6.369967933333333,24.088270833333333,32.382499913194444,15/09/2023
259,4.372155716666666,24.018659722222218,29.711570811631944,16/09/2023
260,4.343498866666667,23.865993055555556,29.521590538194445,17/09/2023
261,3.59037565,23.874534722222222,28.549503016493055,18/09/2023
262,4.163102,24.470381944444444,29.891087673611107,19/09/2023
263,4.421166466666667,23.961409722222218,29.718136892361112,20/09/2023
264,3.4822687,23.28232638888889,27.816530425347224,21/09/2023
265,5.569634333333333,23.917062499999993,31.16919053819444,22/09/2023
266,4.030360183333333,24.30342361111111,29.551288433159723,23/09/2023
267,6.393038316666667,25.194486111111114,33.51875475260417,24/09/2023
268,5.916899666666667,24.989381944444442,32.69367838541667,25/09/2023
269,6.348391783333334,25.153166666666664,33.41930180121528,26/09/2023
270,6.625789283333334,24.98389583333333,33.611225629340275,27/09/2023
271,6.876905283333333,24.711868055555552,33.666171809895836,28/09/2023
272,5.995241966666667,24.990680555555556,32.796985199652774,29/09/2023
273,5.30003415,23.829972222222224,30.731058355034726,30/09/2023
274,6.333333683333334,23.586652777777775,31.833181011284726,01/10/2023
275,7.061442633333334,24.132097222222225,33.326683984375,02/10/2023
276,6.676359416666667,24.710340277777778,33.4035166015625,03/10/2023
277,6.229102816666667,24.770652777777777,32.881463736979164,04/10/2023
278,6.851001066666667,25.137777777777785,34.05835208333333,05/10/2023
279,4.9255615,24.987555555555556,31.40104709201389,06/10/2023
280,5.62790245,24.676993055555556,32.00499103732639,07/10/2023
281,6.007769149999999,25.066923611111108,32.88953969184028,08/10/2023
282,5.837876966666666,24.95617361111111,32.557575911458336,09/10/2023
283,6.5966686333333335,24.85338194444444,33.44279422743056,10/10/2023
284,6.737822983333333,24.829902777777775,33.60310978732639,11/10/2023
285,6.049536316666667,25.029,32.90600041232639,12/10/2023
286,6.222857683333333,25.567319444444447,33.66999871961805,13/10/2023
287,5.93473465,24.928340277777775,32.65585935329861,14/10/2023
288,6.3363467,24.80034722222222,33.05079865451388,15/10/2023
289,5.049086683333333,23.96027083333333,30.534602452256948,16/10/2023
290,5.223987083333332,23.15730555555556,29.9593720703125,17/10/2023
291,5.160798766666666,23.659229166666666,30.379019227430554,18/10/2023
292,5.699148266666667,24.69768390386016,32.48057028404953,19/10/2023
