a,b,dia_juliano,d,e,f,g,h
101,2023,128,2400.0,9.49,0.0,22.14,0.0
101,2023,128,1.0,9.47,0.0,22.15,0.0
101,2023,128,2.0,9.48,0.0,22.15,0.0
101,2023,128,3.0,9.43,0.0,22.15,0.0
101,2023,128,4.0,9.45,0.0,22.14,0.0
101,2023,128,5.0,9.43,0.0,22.11,0.0
101,2023,128,6.0,9.43,0.0,22.09,0.0
101,2023,128,7.0,9.4,0.0,22.07,0.0
101,2023,128,8.0,9.41,0.0,22.04,0.0
101,2023,128,9.0,9.36,0.0,22.04,0.0
101,2023,128,10.0,9.41,0.0,22.02,0.0
101,2023,128,11.0,9.36,0.0,22.0,0.0
101,2023,128,12.0,9.34,0.0,21.98,0.0
101,2023,128,13.0,9.47,0.0,21.94,0.0
101,2023,128,14.0,9.38,0.0,21.9,0.0
101,2023,128,15.0,9.37,0.0,21.91,0.0
101,2023,128,16.0,9.43,0.0,21.99,0.0
101,2023,128,17.0,0.0,0.0,22.08,0.0
101,2023,128,18.0,0.0,0.0,22.17,0.0
101,2023,128,19.0,12.6,0.0,22.21,0.0
101,2023,128,20.0,12.6,0.0,22.24,0.0
101,2023,128,21.0,12.59,0.0,22.25,0.0
101,2023,128,22.0,12.6,0.0,22.23,0.0
101,2023,128,23.0,12.59,0.0,22.2,0.0
101,2023,128,24.0,12.59,0.0,22.17,0.0
101,2023,128,25.0,12.59,0.0,22.09,0.0
101,2023,128,26.0,12.6,0.0,22.01,0.0
101,2023,128,27.0,12.59,0.0,21.97,0.0
101,2023,128,28.0,12.59,0.0,21.96,0.0
101,2023,128,29.0,12.59,0.0,21.94,0.0
101,2023,128,30.0,12.59,0.0,21.92,0.0
101,2023,128,31.0,12.59,0.0,21.95,0.0
101,2023,128,32.0,12.59,0.0,21.98,0.0
101,2023,128,33.0,12.59,0.0,21.98,0.0
101,2023,128,34.0,12.59,0.0,21.98,0.0
101,2023,128,35.0,12.59,0.0,21.96,0.0
101,2023,128,36.0,12.59,0.0,21.95,0.0
101,2023,128,37.0,12.59,0.0,21.94,0.0
101,2023,128,38.0,12.59,0.0,21.94,0.0
101,2023,128,39.0,12.59,0.0,21.92,0.0
101,2023,128,40.0,12.59,0.0,21.9,0.0
101,2023,128,41.0,12.59,0.0,21.89,0.0
101,2023,128,42.0,12.59,0.0,21.92,0.0
101,2023,128,43.0,12.59,0.0,22.01,0.0
101,2023,128,44.0,12.59,0.0,22.08,0.0
101,2023,128,45.0,12.59,0.0,22.05,0.0
101,2023,128,46.0,12.59,0.0,22.07,0.0
101,2023,128,47.0,12.59,0.0,22.07,0.0
101,2023,128,48.0,12.59,0.0,22.05,0.0
101,2023,128,49.0,12.58,0.0,22.03,0.0
101,2023,128,50.0,12.58,0.0,22.05,0.0
101,2023,128,51.0,12.59,0.0,22.05,0.0
101,2023,128,52.0,12.59,0.0,22.05,0.0
101,2023,128,53.0,12.59,0.0,22.06,0.0
101,2023,128,54.0,12.58,0.0,22.07,0.0
101,2023,128,55.0,12.58,0.0,22.08,0.0
101,2023,128,56.0,12.59,0.0,22.08,0.0
101,2023,128,57.0,12.58,0.0,22.08,0.0
101,2023,128,58.0,12.59,0.0,22.08,0.0
101,2023,128,59.0,12.59,0.0,22.08,0.0
101,2023,128,100.0,12.58,0.0,22.09,0.0
101,2023,128,101.0,12.58,0.0,22.12,0.0
101,2023,128,102.0,12.58,0.0,22.13,0.0
101,2023,128,103.0,12.58,0.0,22.15,0.0
101,2023,128,104.0,12.58,0.0,22.15,0.0
101,2023,128,105.0,12.58,0.0,22.16,0.0
101,2023,128,106.0,12.58,0.0,22.17,0.0
101,2023,128,107.0,12.58,0.0,22.17,0.0
101,2023,128,108.0,12.58,0.0,22.2,0.0
101,2023,128,109.0,12.58,0.0,22.28,0.0
101,2023,128,110.0,12.58,0.0,22.37,0.0
101,2023,128,111.0,12.58,0.0,22.44,0.0
101,2023,128,112.0,12.58,0.0,22.44,0.0
101,2023,128,113.0,12.58,0.0,22.44,0.0
101,2023,128,114.0,12.58,0.0,22.47,0.0
101,2023,128,115.0,12.58,0.0,22.45,0.0
101,2023,128,116.0,12.58,0.0,22.47,0.0
101,2023,128,117.0,12.58,0.0,22.48,0.0
101,2023,128,118.0,12.58,0.0,22.47,0.0
101,2023,128,119.0,12.58,0.0,22.46,0.0
101,2023,128,120.0,12.58,0.0,22.46,0.0
101,2023,128,121.0,12.58,0.0,22.47,0.0
101,2023,128,122.0,12.58,0.0,22.47,0.0
101,2023,128,123.0,12.58,0.0,22.46,0.0
101,2023,128,124.0,12.58,0.0,22.44,0.0
101,2023,128,125.0,12.58,0.0,22.44,0.0
101,2023,128,126.0,12.58,0.0,22.43,0.0
101,2023,128,127.0,12.58,0.0,22.42,0.0
101,2023,128,128.0,12.58,0.0,22.42,0.0
101,2023,128,129.0,12.58,0.0,22.42,0.0
101,2023,128,130.0,12.58,0.0,22.42,0.0
101,2023,128,131.0,12.58,0.0,22.42,0.0
101,2023,128,132.0,12.58,0.0,22.42,0.0
101,2023,128,133.0,12.58,0.0,22.41,0.0
101,2023,128,134.0,12.58,0.0,22.4,0.0
101,2023,128,135.0,12.58,0.0,22.38,0.0
101,2023,128,136.0,12.57,0.0,22.36,0.0
101,2023,128,137.0,12.58,0.0,22.35,0.0
101,2023,128,138.0,12.58,0.0,22.34,0.0
101,2023,128,139.0,12.58,0.0,22.32,0.0
101,2023,128,140.0,12.57,0.0,22.32,0.0
101,2023,128,141.0,12.57,0.0,22.34,0.0
101,2023,128,142.0,12.57,0.0,22.35,0.0
101,2023,128,143.0,12.57,0.0,22.37,0.0
101,2023,128,144.0,12.57,0.0,22.37,0.0
101,2023,128,145.0,12.57,0.0,22.37,0.0
101,2023,128,146.0,12.57,0.0,22.35,0.0
101,2023,128,147.0,12.57,0.0,22.32,0.0
101,2023,128,148.0,12.57,0.0,22.34,0.0
101,2023,128,149.0,12.57,0.0,22.33,0.0
101,2023,128,150.0,12.57,0.0,22.29,0.0
101,2023,128,151.0,12.57,0.0,22.27,0.0
101,2023,128,152.0,12.57,0.0,22.27,0.0
101,2023,128,153.0,12.57,0.0,22.26,0.0
101,2023,128,154.0,12.57,0.0,22.25,0.0
101,2023,128,155.0,12.57,0.0,22.24,0.0
101,2023,128,156.0,12.57,0.0,22.22,0.0
101,2023,128,157.0,12.57,0.0,22.2,0.0
101,2023,128,158.0,12.57,0.0,22.21,0.0
101,2023,128,159.0,12.57,0.0,22.2,0.0
101,2023,128,200.0,12.57,0.0,22.2,0.0
101,2023,128,201.0,12.57,0.0,22.22,0.0
101,2023,128,202.0,12.57,0.0,22.2,0.0
101,2023,128,203.0,12.57,0.0,22.2,0.0
101,2023,128,204.0,12.57,0.0,22.21,0.0
101,2023,128,205.0,12.57,0.0,22.19,0.0
101,2023,128,206.0,12.57,0.0,22.16,0.0
101,2023,128,207.0,12.57,0.0,22.14,0.0
101,2023,128,208.0,12.57,0.0,22.15,0.0
101,2023,128,209.0,12.57,0.0,22.15,0.0
101,2023,128,210.0,12.57,0.0,22.15,0.0
101,2023,128,211.0,12.57,0.0,22.13,0.0
101,2023,128,212.0,12.57,0.0,22.1,0.0
101,2023,128,213.0,12.57,0.0,22.09,0.0
101,2023,128,214.0,12.56,0.0,22.11,0.0
101,2023,128,215.0,12.57,0.0,22.14,0.0
101,2023,128,216.0,12.57,0.0,22.1,0.0
101,2023,128,217.0,12.56,0.0,22.08,0.0
101,2023,128,218.0,12.56,0.0,22.08,0.0
101,2023,128,219.0,12.57,0.0,22.09,0.0
101,2023,128,220.0,12.57,0.0,22.08,0.0
101,2023,128,221.0,12.56,0.0,22.03,0.0
101,2023,128,222.0,12.56,0.0,22.04,0.0
101,2023,128,223.0,12.56,0.0,22.06,0.0
101,2023,128,224.0,12.56,0.0,22.09,0.0
101,2023,128,225.0,12.56,0.0,22.11,0.0
101,2023,128,226.0,12.56,0.0,22.04,0.0
101,2023,128,227.0,12.56,0.0,21.97,0.0
101,2023,128,228.0,12.56,0.0,21.98,0.0
101,2023,128,229.0,12.56,0.0,21.98,0.0
101,2023,128,230.0,12.56,0.0,21.96,0.0
101,2023,128,231.0,12.56,0.0,21.93,0.0
101,2023,128,232.0,12.56,0.0,21.91,0.0
101,2023,128,233.0,12.56,0.0,21.89,0.0
101,2023,128,234.0,12.56,0.0,21.89,0.0
101,2023,128,235.0,12.56,0.0,21.89,0.0
101,2023,128,236.0,12.56,0.0,21.89,0.0
101,2023,128,237.0,12.56,0.0,21.93,0.0
101,2023,128,238.0,12.56,0.0,22.06,0.0
101,2023,128,239.0,12.56,0.0,22.1,0.0
101,2023,128,240.0,12.56,0.0,22.14,0.0
101,2023,128,241.0,12.56,0.0,22.12,0.0
101,2023,128,242.0,12.56,0.0,22.18,0.0
101,2023,128,243.0,12.56,0.0,22.18,0.0
101,2023,128,244.0,12.56,0.0,22.13,0.0
101,2023,128,245.0,12.56,0.0,22.03,0.0
101,2023,128,246.0,12.56,0.0,22.03,0.0
101,2023,128,247.0,12.56,0.0,22.03,0.0
101,2023,128,248.0,12.56,0.0,22.03,0.0
101,2023,128,249.0,12.56,0.0,22.01,0.0
101,2023,128,250.0,12.55,0.0,22.0,0.0
101,2023,128,251.0,12.56,0.0,21.99,0.0
101,2023,128,252.0,12.56,0.0,21.99,0.0
101,2023,128,253.0,12.55,0.0,21.98,0.0
101,2023,128,254.0,12.55,0.0,22.0,0.0
101,2023,128,255.0,12.55,0.0,22.03,0.0
101,2023,128,256.0,12.55,0.0,22.03,0.0
101,2023,128,257.0,12.55,0.0,22.02,0.0
101,2023,128,258.0,12.55,0.0,22.05,0.0
101,2023,128,259.0,12.55,0.0,22.01,0.0
101,2023,128,300.0,12.55,0.0,22.03,0.0
101,2023,128,301.0,12.55,0.0,22.03,0.0
101,2023,128,302.0,12.55,0.0,22.01,0.0
101,2023,128,303.0,12.55,0.0,22.0,0.0
101,2023,128,304.0,12.55,0.0,22.02,0.0
101,2023,128,305.0,12.55,0.0,22.03,0.0
101,2023,128,306.0,12.55,0.0,22.08,0.0
101,2023,128,307.0,12.55,0.0,22.1,0.0
101,2023,128,308.0,12.55,0.0,22.07,0.0
101,2023,128,309.0,12.55,0.0,22.05,0.0
101,2023,128,310.0,12.55,0.0,22.04,0.0
101,2023,128,311.0,12.55,0.0,21.99,0.0
101,2023,128,312.0,12.55,0.0,21.97,0.0
101,2023,128,313.0,12.55,0.0,21.99,0.0
101,2023,128,314.0,12.55,0.0,21.99,0.0
101,2023,128,315.0,12.55,0.0,21.98,0.0
101,2023,128,316.0,12.55,0.0,22.0,0.0
101,2023,128,317.0,12.55,0.0,22.01,0.0
101,2023,128,318.0,12.54,0.0,22.03,0.0
101,2023,128,319.0,12.55,0.0,22.01,0.0
101,2023,128,320.0,12.55,0.0,22.02,0.0
101,2023,128,321.0,12.54,0.0,22.01,0.0
101,2023,128,322.0,12.55,0.0,22.06,0.0
101,2023,128,323.0,12.54,0.0,22.09,0.0
101,2023,128,324.0,12.54,0.0,22.08,0.0
101,2023,128,325.0,12.54,0.0,22.09,0.0
101,2023,128,326.0,12.54,0.0,22.09,0.0
101,2023,128,327.0,12.54,0.0,22.04,0.0
101,2023,128,328.0,12.54,0.0,22.06,0.0
101,2023,128,329.0,12.54,0.0,22.05,0.0
101,2023,128,330.0,12.54,0.0,22.1,0.0
101,2023,128,331.0,12.54,0.0,22.1,0.0
101,2023,128,332.0,12.54,0.0,22.08,0.0
101,2023,128,333.0,12.54,0.0,22.09,0.0
101,2023,128,334.0,12.54,0.0,22.07,0.0
101,2023,128,335.0,12.54,0.0,22.09,0.0
101,2023,128,336.0,12.54,0.0,22.07,0.0
101,2023,128,337.0,12.54,0.0,22.07,0.0
101,2023,128,338.0,12.54,0.0,22.12,0.0
101,2023,128,339.0,12.54,0.0,22.14,0.0
101,2023,128,340.0,12.54,0.0,22.14,0.0
101,2023,128,341.0,12.54,0.0,22.12,0.0
101,2023,128,342.0,12.54,0.0,22.11,0.0
101,2023,128,343.0,12.54,0.0,22.11,0.0
101,2023,128,344.0,12.54,0.0,22.11,0.0
101,2023,128,345.0,12.54,0.0,22.1,0.0
101,2023,128,346.0,12.54,0.0,22.09,0.0
101,2023,128,347.0,12.54,0.0,22.07,0.0
101,2023,128,348.0,12.54,0.0,22.06,0.0
101,2023,128,349.0,12.54,0.0,22.04,0.0
101,2023,128,350.0,12.54,0.0,22.05,0.0
101,2023,128,351.0,12.54,0.0,22.04,0.0
101,2023,128,352.0,12.54,0.0,22.05,0.0
101,2023,128,353.0,12.54,0.0,22.06,0.0
101,2023,128,354.0,12.54,0.0,22.06,0.0
101,2023,128,355.0,12.54,0.0,22.06,0.0
101,2023,128,356.0,12.54,0.0,22.06,0.0
101,2023,128,357.0,12.54,0.0,22.05,0.0
101,2023,128,358.0,12.54,0.0,22.05,0.0
101,2023,128,359.0,12.54,0.0,22.03,0.0
101,2023,128,400.0,12.54,0.0,22.0,0.0
101,2023,128,401.0,12.54,0.0,22.02,0.0
101,2023,128,402.0,12.53,0.0,22.05,0.0
101,2023,128,403.0,12.54,0.0,22.03,0.0
101,2023,128,404.0,12.53,0.0,22.0,0.0
101,2023,128,405.0,12.54,0.0,21.99,0.0
101,2023,128,406.0,12.53,0.0,21.98,0.0
101,2023,128,407.0,12.54,0.0,21.96,0.0
101,2023,128,408.0,12.53,0.0,21.95,0.0
101,2023,128,409.0,12.54,0.0,21.96,0.0
101,2023,128,410.0,12.53,0.0,21.95,0.0
101,2023,128,411.0,12.53,0.0,21.95,0.0
101,2023,128,412.0,12.53,0.0,21.94,0.0
101,2023,128,413.0,12.53,0.0,21.94,0.0
101,2023,128,414.0,12.53,0.0,21.92,0.0
101,2023,128,415.0,12.53,0.0,21.91,0.0
101,2023,128,416.0,12.53,0.0,21.91,0.0
101,2023,128,417.0,12.53,0.0,21.89,0.0
101,2023,128,418.0,12.53,0.0,21.88,0.0
101,2023,128,419.0,12.53,0.0,21.87,0.0
101,2023,128,420.0,12.53,0.0,21.86,0.0
101,2023,128,421.0,12.53,0.0,21.85,0.0
101,2023,128,422.0,12.53,0.0,21.84,0.0
101,2023,128,423.0,12.53,0.0,21.82,0.0
101,2023,128,424.0,12.53,0.0,21.8,0.0
101,2023,128,425.0,12.53,0.0,21.81,0.0
101,2023,128,426.0,12.53,0.0,21.84,0.0
101,2023,128,427.0,12.53,0.0,21.85,0.0
101,2023,128,428.0,12.52,0.0,21.9,0.0
101,2023,128,429.0,12.53,0.0,21.94,0.0
101,2023,128,430.0,12.53,0.0,21.93,0.0
101,2023,128,431.0,12.53,0.0,21.94,0.0
101,2023,128,432.0,12.53,0.0,21.9,0.0
101,2023,128,433.0,12.53,0.0,21.89,0.0
101,2023,128,434.0,12.53,0.0,21.86,0.0
101,2023,128,435.0,12.52,0.0,21.83,0.0
101,2023,128,436.0,12.53,0.0,21.81,0.0
101,2023,128,437.0,12.52,0.0,21.85,0.0
101,2023,128,438.0,12.52,0.0,21.91,0.0
101,2023,128,439.0,12.52,0.0,21.91,0.0
101,2023,128,440.0,12.52,0.0,21.93,0.0
101,2023,128,441.0,12.52,0.0,21.96,0.0
